Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2006-07-15 20:12:00,2006-07-15 20:22:00,10.0,38.60909090909091,31.492727272727276
Off,2006-07-15 20:22:00,2006-07-15 20:30:00,8.0,33.64,31.10888888888889
On,2006-07-15 20:30:00,2006-07-15 20:39:00,9.0,36.826,30.826
Off,2006-07-15 20:39:00,2006-07-15 20:48:00,9.0,31.7,30.464999999999996
Nocturnal,2006-07-15 20:48:00,2006-07-16 02:58:00,370.0,36.39083557951483,27.664123989218332
Off,2006-07-16 02:58:00,2006-07-16 03:17:00,19.0,28.15,25.71
Nocturnal,2006-07-16 03:17:00,2006-07-16 05:02:00,105.0,38.006603773584914,25.419716981132073
Off,2006-07-16 05:02:00,2006-07-16 05:26:00,24.0,27.24,25.1692
Nocturnal,2006-07-16 05:26:00,2006-07-16 06:12:00,46.0,38.98851063829788,24.936808510638308
Off,2006-07-16 06:12:00,2006-07-16 06:20:00,8.0,30.0,24.91
On,2006-07-16 06:20:00,2006-07-16 06:26:00,6.0,35.674285714285716,24.91
Off,2006-07-16 06:26:00,2006-07-16 06:40:00,14.0,27.24,24.910000000000007
On,2006-07-16 06:40:00,2006-07-16 06:51:00,11.0,33.44583333333333,24.939999999999998
Off,2006-07-16 06:51:00,2006-07-16 06:59:00,8.0,28.7,25.11
On,2006-07-16 06:59:00,2006-07-16 07:17:00,18.0,35.572631578947366,25.360000000000003
Off,2006-07-16 07:17:00,2006-07-16 07:24:00,7.0,29.62,25.89
On,2006-07-16 07:24:00,2006-07-16 07:44:00,20.0,35.681428571428576,26.948571428571434
Off,2006-07-16 07:44:00,2006-07-16 07:58:00,14.0,28.51,28.133999999999997
On,2006-07-16 07:58:00,2006-07-16 08:23:00,25.0,36.92307692307692,28.925769230769234
Off,2006-07-16 08:23:00,2006-07-16 08:33:00,10.0,30.0,29.472727272727273
On,2006-07-16 08:33:00,2006-07-16 09:05:00,32.0,38.942424242424245,28.67030303030303
Off,2006-07-16 09:05:00,2006-07-16 09:12:00,7.0,30.94,28.79
On,2006-07-16 09:12:00,2006-07-16 09:38:00,26.0,38.91703703703703,29.818148148148143
Off,2006-07-16 09:38:00,2006-07-16 09:48:00,10.0,31.51,30.50909090909091
On,2006-07-16 09:48:00,2006-07-16 09:57:00,9.0,35.644,31.662
Off,2006-07-16 09:57:00,2006-07-16 10:02:00,5.0,32.08,31.763333333333332
On,2006-07-16 10:02:00,2006-07-16 10:08:00,6.0,37.96714285714285,32.16571428571429
Off,2006-07-16 10:08:00,2006-07-16 10:16:00,8.0,32.08,32.943333333333335
On,2006-07-16 10:16:00,2006-07-16 10:28:00,12.0,38.87692307692308,32.424615384615386
Off,2006-07-16 10:28:00,2006-07-16 10:39:00,11.0,32.66,32.212500000000006
On,2006-07-16 10:39:00,2006-07-16 10:53:00,14.0,37.99333333333333,32.27866666666666
Off,2006-07-16 10:53:00,2006-07-16 10:58:00,5.0,33.84,32.083333333333336
On,2006-07-16 10:58:00,2006-07-16 11:16:00,18.0,39.00578947368421,32.797368421052624
Off,2006-07-16 11:16:00,2006-07-16 11:25:00,9.0,34.83,33.461999999999996
On,2006-07-16 11:25:00,2006-07-16 11:31:00,6.0,37.800000000000004,33.33142857142857
Off,2006-07-16 11:31:00,2006-07-16 11:38:00,7.0,34.04,33.15
On,2006-07-16 11:38:00,2006-07-16 12:03:00,25.0,39.305,33.473846153846154
