Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2005-06-24 18:01:00,2005-06-24 18:06:00,5.0,36.24,32.01666666666666
Off,2005-06-24 18:06:00,2005-06-24 18:13:00,7.0,35.24,32.00875
On,2005-06-24 18:13:00,2005-06-24 18:22:00,9.0,37.547,32.160999999999994
Off,2005-06-24 18:22:00,2005-06-24 18:29:00,7.0,34.63,31.605000000000004
On,2005-06-24 18:29:00,2005-06-24 18:33:00,4.0,36.308,31.586000000000002
Off,2005-06-24 18:33:00,2005-06-24 18:43:00,10.0,33.05,30.99181818181818
On,2005-06-24 18:43:00,2005-06-24 18:56:00,13.0,37.045,30.655
Off,2005-06-24 18:56:00,2005-06-24 19:05:00,9.0,32.47,29.940000000000005
On,2005-06-24 19:05:00,2005-06-24 19:23:00,18.0,36.828421052631576,29.759999999999998
Off,2005-06-24 19:23:00,2005-06-24 19:33:00,10.0,31.7,29.185454545454547
On,2005-06-24 19:33:00,2005-06-24 19:47:00,14.0,35.32866666666666,28.586
Off,2005-06-24 19:47:00,2005-06-24 19:56:00,9.0,30.75,28.219
On,2005-06-24 19:56:00,2005-06-24 20:41:00,45.0,35.45652173913044,27.69782608695651
Off,2005-06-24 20:41:00,2005-06-24 20:58:00,17.0,29.62,26.929999999999996
Nocturnal,2005-06-24 20:58:00,2005-06-25 06:24:00,566.0,32.77416225749559,23.85440917107584
Off,2005-06-25 06:24:00,2005-06-25 06:29:00,5.0,26.7,22.60666666666667
On,2005-06-25 06:29:00,2005-06-25 07:06:00,37.0,32.96131578947368,23.15473684210526
Off,2005-06-25 07:06:00,2005-06-25 07:16:00,10.0,26.88,22.763636363636362
On,2005-06-25 07:16:00,2005-06-25 07:45:00,29.0,33.64733333333333,23.63033333333333
Off,2005-06-25 07:45:00,2005-06-25 07:54:00,9.0,27.06,23.264
On,2005-06-25 07:54:00,2005-06-25 08:34:00,40.0,31.541463414634148,23.61439024390244
Off,2005-06-25 08:34:00,2005-06-25 08:40:00,6.0,28.33,23.782857142857146
On,2005-06-25 08:40:00,2005-06-25 09:00:00,20.0,32.78857142857142,24.46857142857143
Off,2005-06-25 09:00:00,2005-06-25 09:10:00,10.0,28.15,24.258181818181814
On,2005-06-25 09:10:00,2005-06-25 09:42:00,32.0,33.666060606060604,24.55545454545454
Off,2005-06-25 09:42:00,2005-06-25 10:00:00,18.0,28.88,25.062631578947368
On,2005-06-25 10:00:00,2005-06-25 10:21:00,21.0,36.709999999999994,25.411363636363635
Off,2005-06-25 10:21:00,2005-06-25 10:35:00,14.0,33.25,25.12599999999999
On,2005-06-25 10:35:00,2005-06-25 11:02:00,27.0,34.760714285714286,25.5975
Off,2005-06-25 11:02:00,2005-06-25 11:10:00,8.0,30.37,25.54222222222222
On,2005-06-25 11:10:00,2005-06-25 11:26:00,16.0,35.15411764705882,26.53058823529412
Off,2005-06-25 11:26:00,2005-06-25 11:33:00,7.0,32.47,27.105
On,2005-06-25 11:33:00,2005-06-25 11:42:00,9.0,34.641,26.933999999999997
Off,2005-06-25 11:42:00,2005-06-25 11:49:00,7.0,30.37,26.5875
On,2005-06-25 11:49:00,2005-06-25 12:00:00,11.0,34.54833333333334,26.970000000000002
Off,2005-06-25 12:00:00,2005-06-25 12:08:00,8.0,30.94,26.9
On,2005-06-25 12:08:00,2005-06-25 12:21:00,13.0,35.39928571428571,27.552142857142854
Off,2005-06-25 12:21:00,2005-06-25 12:35:00,14.0,32.08,28.257999999999992
On,2005-06-25 12:35:00,2005-06-25 12:48:00,13.0,34.965714285714284,28.487142857142853
Off,2005-06-25 12:48:00,2005-06-25 13:00:00,12.0,32.08,28.541538461538458
On,2005-06-25 13:00:00,2005-06-25 13:10:00,10.0,35.73272727272727,28.813636363636363
Off,2005-06-25 13:10:00,2005-06-25 13:15:00,5.0,33.64,28.94333333333333
On,2005-06-25 13:15:00,2005-06-25 13:26:00,11.0,36.75083333333334,29.4675
Off,2005-06-25 13:26:00,2005-06-25 13:38:00,12.0,33.44,29.593076923076925
On,2005-06-25 13:38:00,2005-06-25 13:55:00,17.0,36.285555555555554,29.643333333333334
Off,2005-06-25 13:55:00,2005-06-25 14:02:00,7.0,34.04,29.3675
On,2005-06-25 14:02:00,2005-06-25 14:23:00,21.0,36.04681818181818,29.480454545454542
Off,2005-06-25 14:23:00,2005-06-25 14:30:00,7.0,34.43,29.81
On,2005-06-25 14:30:00,2005-06-25 14:40:00,10.0,36.39272727272727,30.166363636363634
Off,2005-06-25 14:40:00,2005-06-25 14:47:00,7.0,32.86,29.73875
On,2005-06-25 14:47:00,2005-06-25 15:00:00,13.0,35.618571428571435,29.490714285714287
Off,2005-06-25 15:00:00,2005-06-25 15:08:00,8.0,33.84,29.78888888888889
On,2005-06-25 15:08:00,2005-06-25 15:18:00,10.0,36.62818181818182,29.724545454545456
Off,2005-06-25 15:18:00,2005-06-25 15:27:00,9.0,32.86,29.233000000000004
On,2005-06-25 15:27:00,2005-06-25 16:04:00,37.0,36.48026315789474,29.359999999999996
Off,2005-06-25 16:04:00,2005-06-25 16:12:00,8.0,34.83,29.72666666666667
On,2005-06-25 16:12:00,2005-06-25 16:26:00,14.0,37.42999999999999,30.220666666666666
Off,2005-06-25 16:26:00,2005-06-25 16:32:00,6.0,35.85,30.75
On,2005-06-25 16:32:00,2005-06-25 16:39:00,7.0,37.58875,30.939999999999998
Off,2005-06-25 16:39:00,2005-06-25 16:44:00,5.0,34.83,30.623333333333335
On,2005-06-25 16:44:00,2005-06-25 16:55:00,11.0,36.5775,30.512500000000003
Off,2005-06-25 16:55:00,2005-06-25 17:10:00,15.0,34.04,30.360625
On,2005-06-25 17:10:00,2005-06-25 17:37:00,27.0,36.69392857142857,30.662857142857142
Off,2005-06-25 17:37:00,2005-06-25 17:41:00,4.0,34.83,29.924
On,2005-06-25 17:41:00,2005-06-25 17:57:00,16.0,35.379999999999995,29.93294117647059
Off,2005-06-25 17:57:00,2005-06-25 18:10:00,13.0,32.08,29.504285714285714
On,2005-06-25 18:10:00,2005-06-25 18:23:00,13.0,35.42928571428571,29.864285714285717
Off,2005-06-25 18:23:00,2005-06-25 18:31:00,8.0,32.66,29.97666666666667
On,2005-06-25 18:31:00,2005-06-25 18:58:00,27.0,37.385,30.344642857142855
Off,2005-06-25 18:58:00,2005-06-25 19:04:00,6.0,35.03,29.80857142857143
On,2005-06-25 19:04:00,2005-06-25 19:55:00,51.0,37.12942307692309,28.626730769230765
Off,2005-06-25 19:55:00,2005-06-25 20:07:00,12.0,31.13,27.99153846153846
On,2005-06-25 20:07:00,2005-06-25 20:46:00,39.0,34.274249999999995,27.271500000000003
Off,2005-06-25 20:46:00,2005-06-25 20:56:00,10.0,30.0,26.55272727272727
Nocturnal,2005-06-25 20:56:00,2005-06-26 06:10:00,554.0,35.197027027027026,25.597909909909912
