Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2006-07-08 09:01:00,2006-07-08 09:12:00,11.0,33.51666666666667,27.734999999999996
Off,2006-07-08 09:12:00,2006-07-08 09:18:00,6.0,31.32,27.93571428571429
On,2006-07-08 09:18:00,2006-07-08 09:24:00,6.0,32.64142857142857,28.304285714285715
Off,2006-07-08 09:24:00,2006-07-08 09:30:00,6.0,31.13,28.749999999999996
On,2006-07-08 09:30:00,2006-07-08 09:35:00,5.0,32.60666666666666,29.036666666666665
Off,2006-07-08 09:35:00,2006-07-08 09:42:00,7.0,30.94,29.185000000000002
On,2006-07-08 09:42:00,2006-07-08 09:53:00,11.0,33.605,29.06833333333333
Off,2006-07-08 09:53:00,2006-07-08 09:57:00,4.0,32.28,29.142000000000003
On,2006-07-08 09:57:00,2006-07-08 10:06:00,9.0,33.427,29.531
Off,2006-07-08 10:06:00,2006-07-08 10:16:00,10.0,30.94,29.37
On,2006-07-08 10:16:00,2006-07-08 10:33:00,17.0,32.58888888888888,29.32555555555555
Off,2006-07-08 10:33:00,2006-07-08 10:37:00,4.0,31.32,29.698
On,2006-07-08 10:37:00,2006-07-08 10:44:00,7.0,32.57125,29.9025
Off,2006-07-08 10:44:00,2006-07-08 10:53:00,9.0,31.7,30.164000000000005
On,2006-07-08 10:53:00,2006-07-08 11:01:00,8.0,33.36333333333333,30.41333333333333
Off,2006-07-08 11:01:00,2006-07-08 11:03:00,2.0,33.25,30.5
On,2006-07-08 11:03:00,2006-07-08 11:17:00,14.0,34.916666666666664,29.438
Off,2006-07-08 11:17:00,2006-07-08 11:23:00,6.0,31.89,29.650000000000002
On,2006-07-08 11:23:00,2006-07-08 11:32:00,9.0,33.745999999999995,30.656
Off,2006-07-08 11:32:00,2006-07-08 11:38:00,6.0,31.32,30.994285714285716
On,2006-07-08 11:38:00,2006-07-08 11:45:00,7.0,33.33,30.464999999999996
Off,2006-07-08 11:45:00,2006-07-08 11:51:00,6.0,32.47,30.777142857142856
On,2006-07-08 11:51:00,2006-07-08 11:58:00,7.0,33.175,30.63125
Off,2006-07-08 11:58:00,2006-07-08 12:04:00,6.0,32.47,31.211428571428566
On,2006-07-08 12:04:00,2006-07-08 12:13:00,9.0,34.562000000000005,31.433999999999997
Off,2006-07-08 12:13:00,2006-07-08 12:17:00,4.0,32.47,31.282
On,2006-07-08 12:17:00,2006-07-08 12:23:00,6.0,33.81428571428571,31.374285714285715
Off,2006-07-08 12:23:00,2006-07-08 12:27:00,4.0,33.05,31.244
On,2006-07-08 12:27:00,2006-07-08 12:38:00,11.0,34.038333333333334,31.478333333333328
Off,2006-07-08 12:38:00,2006-07-08 12:42:00,4.0,31.89,30.715999999999998
On,2006-07-08 12:42:00,2006-07-08 12:55:00,13.0,35.00928571428571,31.483571428571423
Off,2006-07-08 12:55:00,2006-07-08 13:02:00,7.0,34.23,31.94
On,2006-07-08 13:02:00,2006-07-08 13:11:00,9.0,35.749,31.796
Off,2006-07-08 13:11:00,2006-07-08 13:16:00,5.0,33.84,31.51
On,2006-07-08 13:16:00,2006-07-08 13:25:00,9.0,35.464000000000006,31.662
Off,2006-07-08 13:25:00,2006-07-08 13:32:00,7.0,33.64,31.84375
On,2006-07-08 13:32:00,2006-07-08 13:44:00,12.0,35.54076923076923,31.29076923076923
Off,2006-07-08 13:44:00,2006-07-08 13:51:00,7.0,32.08,30.658749999999998
On,2006-07-08 13:51:00,2006-07-08 14:02:00,11.0,33.96333333333333,30.331666666666663
Off,2006-07-08 14:02:00,2006-07-08 14:08:00,6.0,33.64,31.401428571428568
On,2006-07-08 14:08:00,2006-07-08 14:21:00,13.0,36.055,30.967142857142857
Off,2006-07-08 14:21:00,2006-07-08 14:28:00,7.0,33.64,30.72625
On,2006-07-08 14:28:00,2006-07-08 14:36:00,8.0,34.93,30.50111111111111
Off,2006-07-08 14:36:00,2006-07-08 14:44:00,8.0,33.84,31.025555555555552
On,2006-07-08 14:44:00,2006-07-08 14:54:00,10.0,35.17090909090909,31.319999999999997
Off,2006-07-08 14:54:00,2006-07-08 14:59:00,5.0,33.84,31.446666666666662
On,2006-07-08 14:59:00,2006-07-08 15:05:00,6.0,35.70714285714286,31.59142857142857
Off,2006-07-08 15:05:00,2006-07-08 15:12:00,7.0,33.64,31.39125
On,2006-07-08 15:12:00,2006-07-08 15:24:00,12.0,35.245384615384616,30.881538461538465
Off,2006-07-08 15:24:00,2006-07-08 15:33:00,9.0,32.47,30.807
On,2006-07-08 15:33:00,2006-07-08 15:42:00,9.0,35.41,31.569
Off,2006-07-08 15:42:00,2006-07-08 15:48:00,6.0,31.7,30.10571428571429
On,2006-07-08 15:48:00,2006-07-08 15:55:00,7.0,33.785000000000004,30.9175
Off,2006-07-08 15:55:00,2006-07-08 16:01:00,6.0,33.64,31.645714285714284
On,2006-07-08 16:01:00,2006-07-08 16:10:00,9.0,35.489,31.452999999999996
Off,2006-07-08 16:10:00,2006-07-08 16:16:00,6.0,32.86,31.40142857142857
On,2006-07-08 16:16:00,2006-07-08 16:35:00,19.0,36.153499999999994,31.434500000000003
Off,2006-07-08 16:35:00,2006-07-08 16:44:00,9.0,34.04,32.337
On,2006-07-08 16:44:00,2006-07-08 16:52:00,8.0,35.77444444444445,32.36333333333333
Off,2006-07-08 16:52:00,2006-07-08 16:57:00,5.0,35.03,32.69333333333333
On,2006-07-08 16:57:00,2006-07-08 17:07:00,10.0,36.35454545454545,32.25818181818182
Off,2006-07-08 17:07:00,2006-07-08 17:14:00,7.0,31.7,30.8
On,2006-07-08 17:14:00,2006-07-08 17:33:00,19.0,34.05399999999999,30.024499999999996
Off,2006-07-08 17:33:00,2006-07-08 17:44:00,11.0,31.13,29.950833333333335
On,2006-07-08 17:44:00,2006-07-08 18:00:00,16.0,33.90882352941177,30.561764705882357
Off,2006-07-08 18:00:00,2006-07-08 18:03:00,3.0,32.47,30.75
On,2006-07-08 18:03:00,2006-07-08 18:17:00,14.0,34.40200000000001,30.39666666666667
Off,2006-07-08 18:17:00,2006-07-08 18:27:00,10.0,30.56,29.741818181818186
On,2006-07-08 18:27:00,2006-07-08 18:53:00,26.0,33.438148148148144,29.397037037037038
Off,2006-07-08 18:53:00,2006-07-08 18:58:00,5.0,30.18,28.974999999999994
Nocturnal,2006-07-08 18:58:00,2006-07-08 20:48:00,110.0,32.21405405405405,27.37135135135135
Off,2006-07-08 20:48:00,2006-07-08 20:55:00,7.0,27.24,25.8225
Nocturnal,2006-07-08 20:55:00,2006-07-09 06:42:00,587.0,29.58192176870748,21.4322619047619
Off,2006-07-09 06:42:00,2006-07-09 06:50:00,8.0,22.98,18.397777777777776
On,2006-07-09 06:50:00,2006-07-09 07:15:00,25.0,28.857692307692307,18.582307692307694
Off,2006-07-09 07:15:00,2006-07-09 07:19:00,4.0,24.03,19.04
On,2006-07-09 07:19:00,2006-07-09 08:13:00,54.0,29.029090909090908,20.65090909090909
Off,2006-07-09 08:13:00,2006-07-09 08:18:00,5.0,24.91,21.74333333333333
On,2006-07-09 08:18:00,2006-07-09 08:40:00,22.0,30.595652173913034,23.95434782608696
Off,2006-07-09 08:40:00,2006-07-09 08:47:00,7.0,28.15,25.002499999999998
On,2006-07-09 08:47:00,2006-07-09 08:57:00,10.0,31.179090909090913,25.55909090909091
Off,2006-07-09 08:57:00,2006-07-09 09:03:00,6.0,28.88,26.10857142857143
On,2006-07-09 09:03:00,2006-07-09 09:25:00,22.0,32.74739130434782,26.20695652173913
Off,2006-07-09 09:25:00,2006-07-09 09:31:00,6.0,30.75,26.88
On,2006-07-09 09:31:00,2006-07-09 09:37:00,6.0,32.777142857142856,26.982857142857142
Off,2006-07-09 09:37:00,2006-07-09 09:44:00,7.0,30.18,27.33
On,2006-07-09 09:44:00,2006-07-09 09:59:00,15.0,33.9125,27.99875
Off,2006-07-09 09:59:00,2006-07-09 10:04:00,5.0,31.51,27.720000000000002
On,2006-07-09 10:04:00,2006-07-09 10:13:00,9.0,33.356,28.366999999999997
Off,2006-07-09 10:13:00,2006-07-09 10:18:00,5.0,32.08,28.48333333333333
On,2006-07-09 10:18:00,2006-07-09 10:30:00,12.0,34.58538461538462,28.442307692307686
Off,2006-07-09 10:30:00,2006-07-09 10:39:00,9.0,32.28,28.883999999999997
On,2006-07-09 10:39:00,2006-07-09 10:46:00,7.0,34.295,29.089999999999996
Off,2006-07-09 10:46:00,2006-07-09 10:53:00,7.0,33.25,29.53
On,2006-07-09 10:53:00,2006-07-09 11:05:00,12.0,34.74461538461539,29.236923076923077
Off,2006-07-09 11:05:00,2006-07-09 11:14:00,9.0,33.25,29.792
On,2006-07-09 11:14:00,2006-07-09 11:25:00,11.0,35.345000000000006,29.855833333333337
Off,2006-07-09 11:25:00,2006-07-09 11:34:00,9.0,32.66,30.034
On,2006-07-09 11:34:00,2006-07-09 11:49:00,15.0,35.400625000000005,30.47875
Off,2006-07-09 11:49:00,2006-07-09 11:55:00,6.0,34.04,30.587142857142858
On,2006-07-09 11:55:00,2006-07-09 12:25:00,30.0,35.00225806451612,29.529677419354833
Off,2006-07-09 12:25:00,2006-07-09 12:33:00,8.0,32.47,30.456666666666667
On,2006-07-09 12:33:00,2006-07-09 12:40:00,7.0,34.5625,31.13
Off,2006-07-09 12:40:00,2006-07-09 12:45:00,5.0,34.43,31.478333333333335
On,2006-07-09 12:45:00,2006-07-09 12:54:00,9.0,35.629000000000005,31.282
Off,2006-07-09 12:54:00,2006-07-09 12:59:00,5.0,33.44,30.655
On,2006-07-09 12:59:00,2006-07-09 13:23:00,24.0,35.184000000000005,31.002000000000002
Off,2006-07-09 13:23:00,2006-07-09 13:32:00,9.0,34.63,31.377
On,2006-07-09 13:32:00,2006-07-09 13:55:00,23.0,35.975833333333334,31.066666666666666
Off,2006-07-09 13:55:00,2006-07-09 14:01:00,6.0,32.08,29.678571428571427
On,2006-07-09 14:01:00,2006-07-09 14:12:00,11.0,34.32416666666667,31.035833333333333
Off,2006-07-09 14:12:00,2006-07-09 14:21:00,9.0,33.44,30.883
On,2006-07-09 14:21:00,2006-07-09 14:35:00,14.0,35.71000000000001,31.815999999999995
Off,2006-07-09 14:35:00,2006-07-09 14:45:00,10.0,33.44,31.579090909090908
On,2006-07-09 14:45:00,2006-07-09 15:00:00,15.0,35.013125,30.96375
Off,2006-07-09 15:00:00,2006-07-09 15:10:00,10.0,31.89,30.715454545454545
On,2006-07-09 15:10:00,2006-07-09 15:24:00,14.0,34.91333333333333,31.42333333333333
Off,2006-07-09 15:24:00,2006-07-09 15:32:00,8.0,33.25,31.702222222222222
On,2006-07-09 15:32:00,2006-07-09 15:45:00,13.0,35.40571428571428,31.157857142857136
Off,2006-07-09 15:45:00,2006-07-09 15:52:00,7.0,34.43,32.155
On,2006-07-09 15:52:00,2006-07-09 16:03:00,11.0,35.884166666666665,32.2125
Off,2006-07-09 16:03:00,2006-07-09 16:11:00,8.0,31.7,30.79222222222222
On,2006-07-09 16:11:00,2006-07-09 16:22:00,11.0,34.439166666666665,30.876666666666665
Off,2006-07-09 16:22:00,2006-07-09 16:31:00,9.0,31.51,30.410000000000004
On,2006-07-09 16:31:00,2006-07-09 16:48:00,17.0,34.462777777777774,30.897777777777776
Off,2006-07-09 16:48:00,2006-07-09 16:59:00,11.0,32.47,31.272499999999997
On,2006-07-09 16:59:00,2006-07-09 17:10:00,11.0,35.285,31.019166666666667
Off,2006-07-09 17:10:00,2006-07-09 17:15:00,5.0,32.08,30.401666666666667
On,2006-07-09 17:15:00,2006-07-09 17:32:00,17.0,34.26333333333333,30.48666666666667
Off,2006-07-09 17:32:00,2006-07-09 17:40:00,8.0,32.08,31.10888888888889
On,2006-07-09 17:40:00,2006-07-09 17:54:00,14.0,35.246,30.663333333333338
Off,2006-07-09 17:54:00,2006-07-09 18:01:00,7.0,31.7,29.69125
On,2006-07-09 18:01:00,2006-07-09 18:11:00,10.0,34.468181818181826,30.286363636363635
Off,2006-07-09 18:11:00,2006-07-09 18:22:00,11.0,31.32,30.623333333333335
On,2006-07-09 18:22:00,2006-07-09 18:39:00,17.0,34.99666666666666,30.44388888888889
Off,2006-07-09 18:39:00,2006-07-09 18:48:00,9.0,31.32,29.848000000000003
