#,date,tempe,ambient
1,06/29/06 09:01:00 PM,32.08,27.24
2,06/29/06 09:02:00 PM,31.89,27.24
3,06/29/06 09:03:00 PM,31.7,27.24
4,06/29/06 09:04:00 PM,31.32,27.24
5,06/29/06 09:05:00 PM,31.13,27.24
6,06/29/06 09:06:00 PM,30.94,27.24
7,06/29/06 09:07:00 PM,30.94,27.06
8,06/29/06 09:08:00 PM,30.75,27.06
9,06/29/06 09:09:00 PM,30.75,27.06
10,06/29/06 09:10:00 PM,30.37,27.06
11,06/29/06 09:11:00 PM,30.37,27.06
12,06/29/06 09:12:00 PM,30.18,27.06
13,06/29/06 09:13:00 PM,30.18,27.06
14,06/29/06 09:14:00 PM,30.18,27.06
15,06/29/06 09:15:00 PM,30.0,27.06
16,06/29/06 09:16:00 PM,30.0,27.06
17,06/29/06 09:17:00 PM,29.81,27.06
18,06/29/06 09:18:00 PM,29.81,26.88
19,06/29/06 09:19:00 PM,29.62,26.88
20,06/29/06 09:20:00 PM,29.62,26.88
21,06/29/06 09:21:00 PM,29.44,26.88
22,06/29/06 09:22:00 PM,29.44,26.88
23,06/29/06 09:23:00 PM,29.44,26.88
24,06/29/06 09:24:00 PM,29.44,26.88
25,06/29/06 09:25:00 PM,29.44,26.88
26,06/29/06 09:26:00 PM,29.44,26.88
27,06/29/06 09:27:00 PM,29.25,26.88
28,06/29/06 09:28:00 PM,29.25,26.88
29,06/29/06 09:29:00 PM,29.25,26.88
30,06/29/06 09:30:00 PM,29.07,26.88
31,06/29/06 09:31:00 PM,29.07,26.88
32,06/29/06 09:32:00 PM,29.07,26.88
33,06/29/06 09:33:00 PM,28.88,26.7
34,06/29/06 09:34:00 PM,28.7,26.7
35,06/29/06 09:35:00 PM,28.51,26.7
36,06/29/06 09:36:00 PM,28.51,26.7
37,06/29/06 09:37:00 PM,28.51,26.52
38,06/29/06 09:38:00 PM,28.33,26.52
39,06/29/06 09:39:00 PM,28.33,26.52
40,06/29/06 09:40:00 PM,28.33,26.52
41,06/29/06 09:41:00 PM,28.33,26.52
42,06/29/06 09:42:00 PM,28.33,26.52
43,06/29/06 09:43:00 PM,28.33,26.52
44,06/29/06 09:44:00 PM,28.33,26.52
45,06/29/06 09:45:00 PM,28.15,26.52
46,06/29/06 09:46:00 PM,28.33,26.52
47,06/29/06 09:47:00 PM,28.15,26.34
48,06/29/06 09:48:00 PM,28.15,26.34
49,06/29/06 09:49:00 PM,28.15,26.34
50,06/29/06 09:50:00 PM,27.96,26.34
51,06/29/06 09:51:00 PM,27.96,26.34
52,06/29/06 09:52:00 PM,27.96,26.34
53,06/29/06 09:53:00 PM,27.96,26.34
54,06/29/06 09:54:00 PM,27.96,26.16
55,06/29/06 09:55:00 PM,27.96,26.16
56,06/29/06 09:56:00 PM,27.96,26.16
57,06/29/06 09:57:00 PM,27.78,26.16
58,06/29/06 09:58:00 PM,27.78,26.16
59,06/29/06 09:59:00 PM,27.6,26.16
60,06/29/06 10:00:00 PM,27.6,26.16
61,06/29/06 10:01:00 PM,27.6,26.16
62,06/29/06 10:02:00 PM,27.6,26.16
63,06/29/06 10:03:00 PM,27.6,26.16
64,06/29/06 10:04:00 PM,27.6,26.16
65,06/29/06 10:05:00 PM,27.6,26.16
66,06/29/06 10:06:00 PM,27.6,26.16
67,06/29/06 10:07:00 PM,27.6,26.16
68,06/29/06 10:08:00 PM,27.42,26.16
69,06/29/06 10:09:00 PM,27.6,26.16
70,06/29/06 10:10:00 PM,27.42,26.16
71,06/29/06 10:11:00 PM,27.24,26.16
72,06/29/06 10:12:00 PM,27.24,26.16
73,06/29/06 10:13:00 PM,27.24,26.16
74,06/29/06 10:14:00 PM,27.24,26.16
75,06/29/06 10:15:00 PM,27.24,26.16
76,06/29/06 10:16:00 PM,27.24,26.16
77,06/29/06 10:17:00 PM,27.42,26.16
78,06/29/06 10:18:00 PM,27.6,26.16
79,06/29/06 10:19:00 PM,27.78,26.16
80,06/29/06 10:20:00 PM,29.81,26.16
81,06/29/06 10:21:00 PM,30.56,25.98
82,06/29/06 10:22:00 PM,30.37,25.98
83,06/29/06 10:23:00 PM,31.89,25.98
84,06/29/06 10:24:00 PM,32.28,25.98
85,06/29/06 10:25:00 PM,33.64,25.98
86,06/29/06 10:26:00 PM,33.84,25.98
87,06/29/06 10:27:00 PM,32.66,25.98
88,06/29/06 10:28:00 PM,32.47,25.98
89,06/29/06 10:29:00 PM,33.84,25.98
90,06/29/06 10:30:00 PM,34.23,25.98
91,06/29/06 10:31:00 PM,34.63,25.98
92,06/29/06 10:32:00 PM,33.64,25.98
93,06/29/06 10:33:00 PM,34.83,25.98
