#,date,tempe,ambient
1,07/02/05 06:01:00 PM,39.86,29.81
2,07/02/05 06:02:00 PM,40.08,29.81
3,07/02/05 06:03:00 PM,40.08,29.81
4,07/02/05 06:04:00 PM,39.43,30.0
5,07/02/05 06:05:00 PM,38.14,30.0
6,07/02/05 06:06:00 PM,37.29,30.18
7,07/02/05 06:07:00 PM,36.67,30.18
8,07/02/05 06:08:00 PM,36.05,30.37
9,07/02/05 06:09:00 PM,35.64,30.37
10,07/02/05 06:10:00 PM,37.71,30.56
11,07/02/05 06:11:00 PM,38.56,30.75
12,07/02/05 06:12:00 PM,39.43,30.75
13,07/02/05 06:13:00 PM,37.92,30.56
14,07/02/05 06:14:00 PM,36.46,30.37
15,07/02/05 06:15:00 PM,35.85,30.0
16,07/02/05 06:16:00 PM,35.24,29.62
17,07/02/05 06:17:00 PM,36.67,29.81
18,07/02/05 06:18:00 PM,38.56,30.18
19,07/02/05 06:19:00 PM,39.43,30.18
20,07/02/05 06:20:00 PM,39.64,30.56
21,07/02/05 06:21:00 PM,37.92,30.37
22,07/02/05 06:22:00 PM,36.67,30.18
23,07/02/05 06:23:00 PM,35.64,30.0
24,07/02/05 06:24:00 PM,35.64,29.81
25,07/02/05 06:25:00 PM,37.92,30.0
26,07/02/05 06:26:00 PM,38.78,30.0
27,07/02/05 06:27:00 PM,39.21,30.18
28,07/02/05 06:28:00 PM,38.14,30.37
29,07/02/05 06:29:00 PM,38.14,30.37
30,07/02/05 06:30:00 PM,38.14,30.18
31,07/02/05 06:31:00 PM,37.92,30.18
32,07/02/05 06:32:00 PM,37.71,30.0
33,07/02/05 06:33:00 PM,36.46,30.0
34,07/02/05 06:34:00 PM,35.85,30.18
35,07/02/05 06:35:00 PM,35.64,30.18
36,07/02/05 06:36:00 PM,35.03,30.37
37,07/02/05 06:37:00 PM,34.63,30.37
38,07/02/05 06:38:00 PM,34.43,30.37
39,07/02/05 06:39:00 PM,34.23,30.37
40,07/02/05 06:40:00 PM,33.84,30.56
41,07/02/05 06:41:00 PM,33.84,30.56
42,07/02/05 06:42:00 PM,35.03,30.56
43,07/02/05 06:43:00 PM,37.29,30.56
44,07/02/05 06:44:00 PM,38.14,30.75
45,07/02/05 06:45:00 PM,38.78,30.75
46,07/02/05 06:46:00 PM,38.99,30.94
47,07/02/05 06:47:00 PM,38.99,31.13
48,07/02/05 06:48:00 PM,38.99,31.13
49,07/02/05 06:49:00 PM,38.78,31.13
50,07/02/05 06:50:00 PM,38.56,31.32
51,07/02/05 06:51:00 PM,38.14,31.32
52,07/02/05 06:52:00 PM,37.92,31.32
53,07/02/05 06:53:00 PM,37.5,31.51
54,07/02/05 06:54:00 PM,36.88,31.51
55,07/02/05 06:55:00 PM,36.05,31.51
56,07/02/05 06:56:00 PM,35.24,31.32
57,07/02/05 06:57:00 PM,34.83,31.13
58,07/02/05 06:58:00 PM,34.43,31.13
59,07/02/05 06:59:00 PM,34.23,31.13
60,07/02/05 07:00:00 PM,33.64,31.13
61,07/02/05 07:01:00 PM,34.43,31.13
62,07/02/05 07:02:00 PM,35.64,31.13
63,07/02/05 07:03:00 PM,36.46,30.94
64,07/02/05 07:04:00 PM,36.67,30.56
65,07/02/05 07:05:00 PM,36.88,30.56
66,07/02/05 07:06:00 PM,36.88,30.56
67,07/02/05 07:07:00 PM,37.08,30.75
68,07/02/05 07:08:00 PM,37.92,30.94
69,07/02/05 07:09:00 PM,38.56,30.94
70,07/02/05 07:10:00 PM,36.88,30.56
71,07/02/05 07:11:00 PM,35.64,30.56
72,07/02/05 07:12:00 PM,34.83,30.56
73,07/02/05 07:13:00 PM,34.04,30.37
74,07/02/05 07:14:00 PM,33.64,30.37
75,07/02/05 07:15:00 PM,33.25,30.18
76,07/02/05 07:16:00 PM,33.05,30.18
77,07/02/05 07:17:00 PM,32.47,30.18
78,07/02/05 07:18:00 PM,32.28,30.18
79,07/02/05 07:19:00 PM,32.08,30.18
80,07/02/05 07:20:00 PM,31.89,30.0
81,07/02/05 07:21:00 PM,31.7,30.0
82,07/02/05 07:22:00 PM,31.51,29.81
83,07/02/05 07:23:00 PM,32.08,29.62
84,07/02/05 07:24:00 PM,35.24,29.44
85,07/02/05 07:25:00 PM,37.71,29.44
86,07/02/05 07:26:00 PM,38.35,29.07
87,07/02/05 07:27:00 PM,36.88,28.51
88,07/02/05 07:28:00 PM,36.46,28.15
89,07/02/05 07:29:00 PM,35.85,27.96
90,07/02/05 07:30:00 PM,35.44,27.78
91,07/02/05 07:31:00 PM,35.44,27.42
92,07/02/05 07:32:00 PM,35.64,27.24
93,07/02/05 07:33:00 PM,35.85,27.24
94,07/02/05 07:34:00 PM,36.05,27.24
95,07/02/05 07:35:00 PM,36.05,27.24
96,07/02/05 07:36:00 PM,36.26,27.24
97,07/02/05 07:37:00 PM,36.05,27.24
98,07/02/05 07:38:00 PM,36.05,27.24
99,07/02/05 07:39:00 PM,35.64,27.06
100,07/02/05 07:40:00 PM,35.64,26.88
101,07/02/05 07:41:00 PM,35.64,27.06
102,07/02/05 07:42:00 PM,35.64,26.88
103,07/02/05 07:43:00 PM,35.64,26.7
104,07/02/05 07:44:00 PM,35.85,26.7
105,07/02/05 07:45:00 PM,35.85,26.34
106,07/02/05 07:46:00 PM,35.85,26.16
107,07/02/05 07:47:00 PM,35.85,26.16
108,07/02/05 07:48:00 PM,36.26,25.8
109,07/02/05 07:49:00 PM,36.67,25.8
110,07/02/05 07:50:00 PM,36.88,25.8
111,07/02/05 07:51:00 PM,37.08,25.8
112,07/02/05 07:52:00 PM,37.08,25.62
113,07/02/05 07:53:00 PM,37.08,25.8
114,07/02/05 07:54:00 PM,37.08,25.44
115,07/02/05 07:55:00 PM,37.08,25.44
116,07/02/05 07:56:00 PM,37.08,25.44
117,07/02/05 07:57:00 PM,37.08,25.44
118,07/02/05 07:58:00 PM,36.88,25.44
119,07/02/05 07:59:00 PM,37.08,25.27
120,07/02/05 08:00:00 PM,36.88,25.44
121,07/02/05 08:01:00 PM,36.46,25.27
122,07/02/05 08:02:00 PM,36.05,25.09
123,07/02/05 08:03:00 PM,35.85,25.09
124,07/02/05 08:04:00 PM,35.64,25.09
125,07/02/05 08:05:00 PM,35.24,25.09
126,07/02/05 08:06:00 PM,34.04,25.27
127,07/02/05 08:07:00 PM,33.64,25.27
128,07/02/05 08:08:00 PM,33.25,25.09
129,07/02/05 08:09:00 PM,33.25,25.09
130,07/02/05 08:10:00 PM,33.05,25.27
131,07/02/05 08:11:00 PM,32.66,25.09
132,07/02/05 08:12:00 PM,32.66,24.91
133,07/02/05 08:13:00 PM,32.47,24.74
134,07/02/05 08:14:00 PM,32.28,24.56
135,07/02/05 08:15:00 PM,32.28,24.38
136,07/02/05 08:16:00 PM,32.08,24.21
137,07/02/05 08:17:00 PM,31.89,24.03
138,07/02/05 08:18:00 PM,31.89,24.03
