Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2005-07-02 22:30:00,2005-07-03 06:28:00,478.0,35.16509394572025,23.965302713987477
Off,2005-07-03 06:28:00,2005-07-03 06:33:00,5.0,33.84,24.56
On,2005-07-03 06:33:00,2005-07-03 06:47:00,14.0,35.29533333333334,24.548000000000002
Off,2005-07-03 06:47:00,2005-07-03 06:55:00,8.0,31.51,24.56
On,2005-07-03 06:55:00,2005-07-03 07:11:00,16.0,35.24058823529412,24.454117647058823
Off,2005-07-03 07:11:00,2005-07-03 07:19:00,8.0,33.05,24.52
On,2005-07-03 07:19:00,2005-07-03 07:46:00,27.0,35.68107142857142,24.68142857142857
Off,2005-07-03 07:46:00,2005-07-03 07:54:00,8.0,33.25,24.91
On,2005-07-03 07:54:00,2005-07-03 08:10:00,16.0,35.26705882352941,25.068823529411763
Off,2005-07-03 08:10:00,2005-07-03 08:18:00,8.0,33.25,25.30777777777778
On,2005-07-03 08:18:00,2005-07-03 08:44:00,26.0,35.3937037037037,25.52296296296296
Off,2005-07-03 08:44:00,2005-07-03 08:49:00,5.0,34.04,25.8
On,2005-07-03 08:49:00,2005-07-03 09:06:00,17.0,35.785,25.980000000000004
Off,2005-07-03 09:06:00,2005-07-03 09:13:00,7.0,32.28,26.0925
On,2005-07-03 09:13:00,2005-07-03 09:39:00,26.0,35.56148148148148,26.119999999999997
Off,2005-07-03 09:39:00,2005-07-03 09:48:00,9.0,33.05,26.160000000000004
On,2005-07-03 09:48:00,2005-07-03 10:20:00,32.0,35.666363636363634,26.438181818181818
Off,2005-07-03 10:20:00,2005-07-03 10:37:00,17.0,31.7,26.34
On,2005-07-03 10:37:00,2005-07-03 10:56:00,19.0,34.93300000000001,26.583
Off,2005-07-03 10:56:00,2005-07-03 11:01:00,5.0,35.24,26.49
On,2005-07-03 11:01:00,2005-07-03 11:14:00,13.0,36.082857142857144,27.008571428571432
Off,2005-07-03 11:14:00,2005-07-03 11:20:00,6.0,34.04,27.754285714285714
On,2005-07-03 11:20:00,2005-07-03 11:49:00,29.0,36.02066666666667,25.25766666666666
Off,2005-07-03 11:49:00,2005-07-03 11:59:00,10.0,32.47,24.576363636363634
On,2005-07-03 11:59:00,2005-07-03 12:31:00,32.0,35.45484848484848,25.11727272727273
Off,2005-07-03 12:31:00,2005-07-03 12:36:00,5.0,34.83,25.47
On,2005-07-03 12:36:00,2005-07-03 12:49:00,13.0,35.73142857142857,25.710000000000004
Off,2005-07-03 12:49:00,2005-07-03 12:55:00,6.0,34.43,25.544285714285714
On,2005-07-03 12:55:00,2005-07-03 13:30:00,35.0,36.241666666666674,25.790277777777778
Off,2005-07-03 13:30:00,2005-07-03 13:39:00,9.0,33.84,25.746000000000002
On,2005-07-03 13:39:00,2005-07-03 13:53:00,14.0,35.47266666666667,25.692000000000004
Off,2005-07-03 13:53:00,2005-07-03 13:59:00,6.0,34.63,25.722857142857148
On,2005-07-03 13:59:00,2005-07-03 14:27:00,28.0,36.069310344827585,25.73172413793104
Off,2005-07-03 14:27:00,2005-07-03 14:34:00,7.0,33.64,26.295
On,2005-07-03 14:34:00,2005-07-03 15:10:00,36.0,35.89162162162163,27.006486486486484
Off,2005-07-03 15:10:00,2005-07-03 15:21:00,11.0,33.84,27.995833333333326
On,2005-07-03 15:21:00,2005-07-03 15:33:00,12.0,35.29230769230769,27.06076923076923
Off,2005-07-03 15:33:00,2005-07-03 15:44:00,11.0,33.64,27.36
On,2005-07-03 15:44:00,2005-07-03 15:58:00,14.0,35.57133333333333,26.976000000000003
Off,2005-07-03 15:58:00,2005-07-03 16:05:00,7.0,34.63,27.375
On,2005-07-03 16:05:00,2005-07-03 16:19:00,14.0,35.88999999999999,26.927999999999997
Off,2005-07-03 16:19:00,2005-07-03 16:27:00,8.0,33.84,26.799999999999997
On,2005-07-03 16:27:00,2005-07-03 16:51:00,24.0,35.9748,27.2256
Off,2005-07-03 16:51:00,2005-07-03 17:03:00,12.0,34.43,27.85
On,2005-07-03 17:03:00,2005-07-03 17:14:00,11.0,35.833333333333336,28.668333333333333
Off,2005-07-03 17:14:00,2005-07-03 17:20:00,6.0,35.03,29.358571428571427
On,2005-07-03 17:20:00,2005-07-03 17:31:00,11.0,36.15666666666667,29.560833333333335
Off,2005-07-03 17:31:00,2005-07-03 17:37:00,6.0,35.03,29.358571428571427
On,2005-07-03 17:37:00,2005-07-03 17:50:00,13.0,36.43642857142857,29.490000000000002
Off,2005-07-03 17:50:00,2005-07-03 17:57:00,7.0,35.44,29.137500000000003
On,2005-07-03 17:57:00,2005-07-03 18:09:00,12.0,36.465384615384615,29.14
Off,2005-07-03 18:09:00,2005-07-03 18:19:00,10.0,34.83,29.30272727272727
On,2005-07-03 18:19:00,2005-07-03 18:38:00,19.0,35.951499999999996,29.087500000000006
Off,2005-07-03 18:38:00,2005-07-03 18:45:00,7.0,34.04,28.62875
On,2005-07-03 18:45:00,2005-07-03 19:00:00,15.0,35.79,28.51
Off,2005-07-03 19:00:00,2005-07-03 19:07:00,7.0,33.44,28.465000000000003
On,2005-07-03 19:07:00,2005-07-03 19:28:00,21.0,35.959999999999994,28.573181818181823
Off,2005-07-03 19:28:00,2005-07-03 19:42:00,14.0,32.47,28.746
On,2005-07-03 19:42:00,2005-07-03 20:21:00,39.0,36.003750000000004,28.2985
Off,2005-07-03 20:21:00,2005-07-03 20:28:00,7.0,34.43,27.9375
On,2005-07-03 20:28:00,2005-07-03 20:41:00,13.0,35.41285714285714,27.767142857142858
Off,2005-07-03 20:41:00,2005-07-03 21:01:00,20.0,31.13,27.599999999999994
Nocturnal,2005-07-03 21:01:00,2005-07-04 06:23:00,562.0,36.17976909413854,26.28449378330373
Off,2005-07-04 06:23:00,2005-07-04 06:31:00,8.0,32.86,25.421111111111113
On,2005-07-04 06:31:00,2005-07-04 06:50:00,19.0,35.81249999999999,25.278499999999998
Off,2005-07-04 06:50:00,2005-07-04 06:57:00,7.0,34.04,25.27
On,2005-07-04 06:57:00,2005-07-04 07:28:00,31.0,36.4315625,25.35
Off,2005-07-04 07:28:00,2005-07-04 07:38:00,10.0,33.44,25.570909090909094
On,2005-07-04 07:38:00,2005-07-04 07:51:00,13.0,35.75214285714286,25.594285714285718
Off,2005-07-04 07:51:00,2005-07-04 07:59:00,8.0,34.23,25.560000000000002
On,2005-07-04 07:59:00,2005-07-04 08:13:00,14.0,36.112,25.644000000000005
Off,2005-07-04 08:13:00,2005-07-04 08:23:00,10.0,32.47,25.88181818181818
On,2005-07-04 08:23:00,2005-07-04 08:37:00,14.0,35.78333333333333,26.112000000000002
Off,2005-07-04 08:37:00,2005-07-04 08:55:00,18.0,31.89,26.321052631578947
On,2005-07-04 08:55:00,2005-07-04 09:08:00,13.0,35.11214285714285,26.507142857142856
Off,2005-07-04 09:08:00,2005-07-04 09:15:00,7.0,34.23,26.6325
On,2005-07-04 09:15:00,2005-07-04 09:29:00,14.0,35.96133333333333,26.819999999999997
Off,2005-07-04 09:29:00,2005-07-04 09:34:00,5.0,35.24,27.06
On,2005-07-04 09:34:00,2005-07-04 09:48:00,14.0,36.466,27.228000000000005
Off,2005-07-04 09:48:00,2005-07-04 09:58:00,10.0,34.23,27.567272727272726
On,2005-07-04 09:58:00,2005-07-04 10:11:00,13.0,36.19,27.858571428571423
Off,2005-07-04 10:11:00,2005-07-04 10:23:00,12.0,33.05,28.205384615384613
On,2005-07-04 10:23:00,2005-07-04 10:36:00,13.0,35.66,28.407857142857136
Off,2005-07-04 10:36:00,2005-07-04 10:49:00,13.0,34.23,28.828571428571426
On,2005-07-04 10:49:00,2005-07-04 11:00:00,11.0,35.92166666666667,28.911666666666665
Off,2005-07-04 11:00:00,2005-07-04 11:07:00,7.0,35.44,28.722499999999997
On,2005-07-04 11:07:00,2005-07-04 11:28:00,21.0,37.05954545454546,29.643181818181812
Off,2005-07-04 11:28:00,2005-07-04 11:44:00,16.0,34.23,30.42588235294117
On,2005-07-04 11:44:00,2005-07-04 11:57:00,13.0,36.00142857142857,30.641428571428573
Off,2005-07-04 11:57:00,2005-07-04 12:07:00,10.0,34.43,30.08090909090909
On,2005-07-04 12:07:00,2005-07-04 12:21:00,14.0,36.21,30.362
Off,2005-07-04 12:21:00,2005-07-04 12:28:00,7.0,35.44,31.605
On,2005-07-04 12:28:00,2005-07-04 12:41:00,13.0,36.84928571428571,32.082142857142856
Off,2005-07-04 12:41:00,2005-07-04 12:52:00,11.0,34.83,31.749166666666667
On,2005-07-04 12:52:00,2005-07-04 12:59:00,7.0,35.85125,32.03625
Off,2005-07-04 12:59:00,2005-07-04 13:06:00,7.0,35.44,32.1075
On,2005-07-04 13:06:00,2005-07-04 13:14:00,8.0,36.37444444444444,31.65777777777778
Off,2005-07-04 13:14:00,2005-07-04 13:21:00,7.0,35.24,31.15375
On,2005-07-04 13:21:00,2005-07-04 13:41:00,20.0,36.957142857142856,29.31619047619048
Off,2005-07-04 13:41:00,2005-07-04 13:46:00,5.0,35.44,28.45
On,2005-07-04 13:46:00,2005-07-04 13:53:00,7.0,36.46375,28.85875
Off,2005-07-04 13:53:00,2005-07-04 14:04:00,11.0,34.23,29.499166666666667
On,2005-07-04 14:04:00,2005-07-04 14:16:00,12.0,36.580000000000005,30.765384615384615
Off,2005-07-04 14:16:00,2005-07-04 14:26:00,10.0,34.43,31.25090909090909
On,2005-07-04 14:26:00,2005-07-04 14:40:00,14.0,36.30533333333334,32.00733333333333
Off,2005-07-04 14:40:00,2005-07-04 14:54:00,14.0,34.83,32.845333333333336
