#,date,tempe,ambient
1,03/27/06 07:01:00 AM,20.91,6.36
2,03/27/06 07:02:00 AM,22.12,6.36
3,03/27/06 07:03:00 AM,23.16,6.36
4,03/27/06 07:04:00 AM,24.03,6.36
5,03/27/06 07:05:00 AM,24.91,6.36
6,03/27/06 07:06:00 AM,24.91,6.36
7,03/27/06 07:07:00 AM,24.38,6.53
8,03/27/06 07:08:00 AM,21.6,6.53
9,03/27/06 07:09:00 AM,20.06,6.7
10,03/27/06 07:10:00 AM,17.68,6.7
11,03/27/06 07:11:00 AM,15.83,6.7
12,03/27/06 07:12:00 AM,14.49,6.87
13,03/27/06 07:13:00 AM,13.48,6.87
14,03/27/06 07:14:00 AM,12.47,6.87
15,03/27/06 07:15:00 AM,12.64,7.04
16,03/27/06 07:16:00 AM,13.31,7.04
17,03/27/06 07:17:00 AM,13.81,7.04
18,03/27/06 07:18:00 AM,14.32,7.22
19,03/27/06 07:19:00 AM,14.65,7.22
20,03/27/06 07:20:00 AM,14.99,7.22
21,03/27/06 07:21:00 AM,15.33,7.22
22,03/27/06 07:22:00 AM,15.83,7.39
23,03/27/06 07:23:00 AM,16.17,7.39
24,03/27/06 07:24:00 AM,16.33,7.39
25,03/27/06 07:25:00 AM,16.5,7.56
26,03/27/06 07:26:00 AM,16.5,7.56
27,03/27/06 07:27:00 AM,16.67,7.73
28,03/27/06 07:28:00 AM,16.84,7.73
29,03/27/06 07:29:00 AM,17.01,7.9
30,03/27/06 07:30:00 AM,17.85,8.07
31,03/27/06 07:31:00 AM,19.21,8.07
32,03/27/06 07:32:00 AM,20.91,8.24
33,03/27/06 07:33:00 AM,19.38,8.41
34,03/27/06 07:34:00 AM,18.36,8.58
35,03/27/06 07:35:00 AM,17.51,8.75
36,03/27/06 07:36:00 AM,16.5,9.09
37,03/27/06 07:37:00 AM,15.83,9.43
38,03/27/06 07:38:00 AM,16.17,9.77
39,03/27/06 07:39:00 AM,16.84,10.11
40,03/27/06 07:40:00 AM,17.18,10.45
41,03/27/06 07:41:00 AM,17.68,10.79
42,03/27/06 07:42:00 AM,18.02,10.96
43,03/27/06 07:43:00 AM,18.36,11.12
44,03/27/06 07:44:00 AM,18.7,11.29
45,03/27/06 07:45:00 AM,19.04,11.29
46,03/27/06 07:46:00 AM,19.21,11.46
47,03/27/06 07:47:00 AM,19.55,11.46
48,03/27/06 07:48:00 AM,19.72,11.63
49,03/27/06 07:49:00 AM,19.89,11.63
50,03/27/06 07:50:00 AM,20.23,11.8
51,03/27/06 07:51:00 AM,20.4,11.97
52,03/27/06 07:52:00 AM,20.57,11.97
53,03/27/06 07:53:00 AM,21.43,12.13
54,03/27/06 07:54:00 AM,22.29,12.13
55,03/27/06 07:55:00 AM,20.57,12.47
56,03/27/06 07:56:00 AM,19.04,12.47
57,03/27/06 07:57:00 AM,19.04,12.47
58,03/27/06 07:58:00 AM,19.72,12.64
59,03/27/06 07:59:00 AM,20.23,12.64
60,03/27/06 08:00:00 AM,20.23,12.47
61,03/27/06 08:01:00 AM,20.4,12.47
62,03/27/06 08:02:00 AM,20.06,12.64
63,03/27/06 08:03:00 AM,20.06,12.64
64,03/27/06 08:04:00 AM,20.06,12.81
65,03/27/06 08:05:00 AM,19.72,12.98
66,03/27/06 08:06:00 AM,19.55,13.31
67,03/27/06 08:07:00 AM,19.38,13.98
68,03/27/06 08:08:00 AM,19.38,14.65
69,03/27/06 08:09:00 AM,20.06,15.66
70,03/27/06 08:10:00 AM,19.21,17.01
71,03/27/06 08:11:00 AM,18.53,18.7
72,03/27/06 08:12:00 AM,18.02,19.89
73,03/27/06 08:13:00 AM,17.68,20.91
74,03/27/06 08:14:00 AM,17.51,20.74
75,03/27/06 08:15:00 AM,18.36,20.06
76,03/27/06 08:16:00 AM,19.04,19.21
77,03/27/06 08:17:00 AM,19.21,18.36
78,03/27/06 08:18:00 AM,19.55,17.51
79,03/27/06 08:19:00 AM,21.6,17.18
80,03/27/06 08:20:00 AM,23.68,17.35
81,03/27/06 08:21:00 AM,25.09,17.85
82,03/27/06 08:22:00 AM,25.8,18.36
83,03/27/06 08:23:00 AM,26.34,18.02
84,03/27/06 08:24:00 AM,25.44,17.85
85,03/27/06 08:25:00 AM,23.16,17.51
86,03/27/06 08:26:00 AM,21.43,16.84
87,03/27/06 08:27:00 AM,20.06,16.67
88,03/27/06 08:28:00 AM,19.21,16.5
89,03/27/06 08:29:00 AM,18.87,16.5
90,03/27/06 08:30:00 AM,19.72,16.33
91,03/27/06 08:31:00 AM,20.23,16.33
92,03/27/06 08:32:00 AM,20.74,16.33
93,03/27/06 08:33:00 AM,20.91,16.17
94,03/27/06 08:34:00 AM,21.26,16.0
95,03/27/06 08:35:00 AM,21.08,15.83
96,03/27/06 08:36:00 AM,21.6,15.66
97,03/27/06 08:37:00 AM,22.64,15.66
98,03/27/06 08:38:00 AM,23.51,15.49
99,03/27/06 08:39:00 AM,24.21,15.49
100,03/27/06 08:40:00 AM,24.74,15.66
101,03/27/06 08:41:00 AM,24.91,15.49
102,03/27/06 08:42:00 AM,23.51,15.66
103,03/27/06 08:43:00 AM,22.29,14.99
104,03/27/06 08:44:00 AM,21.26,14.99
105,03/27/06 08:45:00 AM,20.91,14.82
106,03/27/06 08:46:00 AM,22.12,14.99
107,03/27/06 08:47:00 AM,22.81,15.33
108,03/27/06 08:48:00 AM,23.51,15.49
109,03/27/06 08:49:00 AM,24.03,15.66
110,03/27/06 08:50:00 AM,24.38,15.33
111,03/27/06 08:51:00 AM,24.56,15.16
112,03/27/06 08:52:00 AM,24.56,15.33
113,03/27/06 08:53:00 AM,24.91,15.49
114,03/27/06 08:54:00 AM,24.91,15.16
115,03/27/06 08:55:00 AM,24.91,14.99
116,03/27/06 08:56:00 AM,25.09,15.16
117,03/27/06 08:57:00 AM,24.91,15.49
118,03/27/06 08:58:00 AM,24.74,15.83
119,03/27/06 08:59:00 AM,24.74,16.0
120,03/27/06 09:00:00 AM,23.33,16.17
