Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2005-05-15 07:51:00,2005-05-15 07:54:00,3.0,32.47,20.91
Off,2005-05-15 07:54:00,2005-05-15 08:04:00,10.0,23.68,21.06454545454545
On,2005-05-15 08:04:00,2005-05-15 08:40:00,36.0,31.220810810810814,21.88162162162162
Off,2005-05-15 08:40:00,2005-05-15 08:56:00,16.0,25.62,22.94
On,2005-05-15 08:56:00,2005-05-15 09:31:00,35.0,32.721666666666664,23.663611111111116
Off,2005-05-15 09:31:00,2005-05-15 09:37:00,6.0,28.33,24.307142857142853
On,2005-05-15 09:37:00,2005-05-15 09:49:00,12.0,33.58615384615384,24.680769230769233
Off,2005-05-15 09:49:00,2005-05-15 09:56:00,7.0,28.15,24.823749999999997
On,2005-05-15 09:56:00,2005-05-15 10:04:00,8.0,31.267777777777773,24.677777777777777
Off,2005-05-15 10:04:00,2005-05-15 10:15:00,11.0,28.51,25.251666666666665
On,2005-05-15 10:15:00,2005-05-15 10:38:00,23.0,34.43083333333333,25.3475
Off,2005-05-15 10:38:00,2005-05-15 10:51:00,13.0,29.25,25.417142857142856
On,2005-05-15 10:51:00,2005-05-15 11:12:00,21.0,35.45818181818182,25.604545454545452
Off,2005-05-15 11:12:00,2005-05-15 11:25:00,13.0,28.7,26.160000000000007
On,2005-05-15 11:25:00,2005-05-15 11:37:00,12.0,34.78076923076923,26.063076923076927
Off,2005-05-15 11:37:00,2005-05-15 11:49:00,12.0,29.44,26.298461538461538
On,2005-05-15 11:49:00,2005-05-15 12:01:00,12.0,35.40384615384615,26.45076923076923
Off,2005-05-15 12:01:00,2005-05-15 12:13:00,12.0,30.0,27.22615384615385
On,2005-05-15 12:13:00,2005-05-15 12:22:00,9.0,34.403,27.582
Off,2005-05-15 12:22:00,2005-05-15 12:31:00,9.0,30.56,27.726
On,2005-05-15 12:31:00,2005-05-15 12:41:00,10.0,33.27,28.247272727272726
Off,2005-05-15 12:41:00,2005-05-15 12:51:00,10.0,30.75,28.229090909090907
On,2005-05-15 12:51:00,2005-05-15 12:55:00,4.0,33.818,28.221999999999998
Off,2005-05-15 12:55:00,2005-05-15 13:02:00,7.0,30.94,28.42
On,2005-05-15 13:02:00,2005-05-15 13:13:00,11.0,34.501666666666665,28.774166666666662
Off,2005-05-15 13:13:00,2005-05-15 13:22:00,9.0,32.08,28.994999999999997
On,2005-05-15 13:22:00,2005-05-15 13:36:00,14.0,35.141333333333336,31.271333333333324
Off,2005-05-15 13:36:00,2005-05-15 13:44:00,8.0,35.44,31.509999999999998
On,2005-05-15 13:44:00,2005-05-15 13:51:00,7.0,36.905,31.748749999999998
Off,2005-05-15 13:51:00,2005-05-15 14:05:00,14.0,31.51,31.614666666666665
On,2005-05-15 14:05:00,2005-05-15 14:33:00,28.0,34.947586206896545,30.563103448275864
Off,2005-05-15 14:33:00,2005-05-15 14:46:00,13.0,33.64,30.763571428571428
On,2005-05-15 14:46:00,2005-05-15 16:10:00,84.0,39.67529411764706,33.392
Off,2005-05-15 16:10:00,2005-05-15 16:21:00,11.0,34.23,32.406666666666666
On,2005-05-15 16:21:00,2005-05-15 16:30:00,9.0,36.711,31.490999999999996
Off,2005-05-15 16:30:00,2005-05-15 16:38:00,8.0,33.84,31.235555555555557
On,2005-05-15 16:38:00,2005-05-15 16:46:00,8.0,35.62222222222223,30.686666666666667
Off,2005-05-15 16:46:00,2005-05-15 17:01:00,15.0,30.56,29.53125
On,2005-05-15 17:01:00,2005-05-15 17:12:00,11.0,34.63583333333333,29.099999999999998
Off,2005-05-15 17:12:00,2005-05-15 17:28:00,16.0,31.32,29.622352941176473
On,2005-05-15 17:28:00,2005-05-15 17:59:00,31.0,33.11625,29.70875
Off,2005-05-15 17:59:00,2005-05-15 18:09:00,10.0,31.13,29.523636363636363
