#,date,tempe,ambient
1,5/15/2005 7:11,21.77,19.21
2,5/15/2005 7:12,21.6,19.21
3,5/15/2005 7:13,21.6,19.21
4,5/15/2005 7:14,21.43,19.21
5,5/15/2005 7:15,21.43,19.21
6,5/15/2005 7:16,21.43,19.21
7,5/15/2005 7:17,21.43,19.21
8,5/15/2005 7:18,21.26,19.21
9,5/15/2005 7:19,21.26,19.21
10,5/15/2005 7:20,21.6,19.21
11,5/15/2005 7:21,22.46,19.21
12,5/15/2005 7:22,23.33,19.21
13,5/15/2005 7:23,24.38,19.21
14,5/15/2005 7:24,25.09,19.21
15,5/15/2005 7:25,25.8,19.21
16,5/15/2005 7:26,26.34,19.21
17,5/15/2005 7:27,26.16,19.21
18,5/15/2005 7:28,26.7,19.38
19,5/15/2005 7:29,27.24,19.38
20,5/15/2005 7:30,27.6,19.38
21,5/15/2005 7:31,27.6,19.38
22,5/15/2005 7:32,27.6,19.38
23,5/15/2005 7:33,27.96,19.38
24,5/15/2005 7:34,28.15,19.38
25,5/15/2005 7:35,28.33,19.38
26,5/15/2005 7:36,28.51,19.55
27,5/15/2005 7:37,28.51,19.55
28,5/15/2005 7:38,28.7,19.55
29,5/15/2005 7:39,28.88,19.55
30,5/15/2005 7:40,29.07,19.55
31,5/15/2005 7:41,29.25,19.55
32,5/15/2005 7:42,29.44,19.55
33,5/15/2005 7:43,29.62,19.55
34,5/15/2005 7:44,29.62,19.72
35,5/15/2005 7:45,29.81,19.72
36,5/15/2005 7:46,30,19.72
37,5/15/2005 7:47,29.62,19.72
38,5/15/2005 7:48,29.81,19.72
39,5/15/2005 7:49,30,19.72
40,5/15/2005 7:50,30.37,19.89
41,5/15/2005 7:51,30.56,19.89
42,5/15/2005 7:52,30.94,19.89
43,5/15/2005 7:53,31.13,19.89
44,5/15/2005 7:54,30.94,19.89
45,5/15/2005 7:55,30.94,20.06
46,5/15/2005 7:56,30.94,20.06
47,5/15/2005 7:57,30.75,20.06
48,5/15/2005 7:58,30.56,20.06
49,5/15/2005 7:59,30.56,20.06
50,5/15/2005 8:00,30.75,20.06
51,5/15/2005 8:01,30.75,20.23
52,5/15/2005 8:02,30.94,20.23
53,5/15/2005 8:03,30.37,20.23
54,5/15/2005 8:04,29.44,20.23
55,5/15/2005 8:05,29.44,20.23
56,5/15/2005 8:06,30,20.23
57,5/15/2005 8:07,29.62,20.23
58,5/15/2005 8:08,28.88,20.23
59,5/15/2005 8:09,28.33,20.4
60,5/15/2005 8:10,27.96,20.4
61,5/15/2005 8:11,27.42,20.4
62,5/15/2005 8:12,27.24,20.4
63,5/15/2005 8:13,26.88,20.4
64,5/15/2005 8:14,26.7,20.4
65,5/15/2005 8:15,27.24,20.57
66,5/15/2005 8:16,27.6,20.57
67,5/15/2005 8:17,27.96,20.57
68,5/15/2005 8:18,28.15,20.57
69,5/15/2005 8:19,28.51,20.57
70,5/15/2005 8:20,28.7,20.57
71,5/15/2005 8:21,28.88,20.57
72,5/15/2005 8:22,29.07,20.57
73,5/15/2005 8:23,29.25,20.74
74,5/15/2005 8:24,29.44,20.74
75,5/15/2005 8:25,29.62,20.74
76,5/15/2005 8:26,29.81,20.74
77,5/15/2005 8:27,30,20.91
78,5/15/2005 8:28,30,20.91
79,5/15/2005 8:29,30.18,20.91
80,5/15/2005 8:30,30.56,20.91
81,5/15/2005 8:31,30.75,20.91
82,5/15/2005 8:32,31.13,21.08
83,5/15/2005 8:33,31.32,21.08
84,5/15/2005 8:34,31.51,21.08
85,5/15/2005 8:35,31.7,21.08
86,5/15/2005 8:36,31.89,21.26
87,5/15/2005 8:37,31.7,21.26
88,5/15/2005 8:38,31.51,21.26
89,5/15/2005 8:39,30.94,21.26
90,5/15/2005 8:40,29.81,21.43
91,5/15/2005 8:41,29.07,21.43
92,5/15/2005 8:42,28.51,21.43
93,5/15/2005 8:43,27.96,21.43
94,5/15/2005 8:44,27.6,21.43
95,5/15/2005 8:45,27.24,21.43
96,5/15/2005 8:46,26.88,21.43
97,5/15/2005 8:47,26.7,21.43
98,5/15/2005 8:48,26.34,21.43
99,5/15/2005 8:49,26.16,21.43
100,5/15/2005 8:50,25.98,21.43
101,5/15/2005 8:51,25.8,21.43
102,5/15/2005 8:52,25.62,21.43
103,5/15/2005 8:53,25.62,21.6
104,5/15/2005 8:54,28.33,21.6
105,5/15/2005 8:55,29.44,21.6
106,5/15/2005 8:56,29.81,21.6
107,5/15/2005 8:57,30.18,21.6
108,5/15/2005 8:58,30.37,21.6
109,5/15/2005 8:59,30.75,21.77
110,5/15/2005 9:00,30.94,21.77
111,5/15/2005 9:01,31.13,21.77
112,5/15/2005 9:02,31.32,21.77
113,5/15/2005 9:03,31.32,21.77
114,5/15/2005 9:04,31.32,21.95
115,5/15/2005 9:05,31.13,21.95
116,5/15/2005 9:06,31.13,21.95
117,5/15/2005 9:07,31.32,22.12
118,5/15/2005 9:08,31.51,22.12
119,5/15/2005 9:09,31.7,22.29
120,5/15/2005 9:10,31.7,22.29
121,5/15/2005 9:11,32.08,22.46
122,5/15/2005 9:12,32.28,22.46
123,5/15/2005 9:13,32.28,22.64
124,5/15/2005 9:14,32.28,22.64
125,5/15/2005 9:15,32.08,22.81
126,5/15/2005 9:16,32.08,22.81
127,5/15/2005 9:17,32.47,22.81
128,5/15/2005 9:18,32.66,22.81
129,5/15/2005 9:19,32.66,22.98
130,5/15/2005 9:20,32.66,22.98
131,5/15/2005 9:21,32.66,22.98
132,5/15/2005 9:22,32.66,22.98
133,5/15/2005 9:23,32.28,23.16
134,5/15/2005 9:24,31.7,23.16
135,5/15/2005 9:25,31.13,23.16
136,5/15/2005 9:26,30.75,23.16
137,5/15/2005 9:27,30.37,23.16
138,5/15/2005 9:28,30,23.16
139,5/15/2005 9:29,29.81,23.33
140,5/15/2005 9:30,29.44,23.33
141,5/15/2005 9:31,29.25,23.33
142,5/15/2005 9:32,29.07,23.33
143,5/15/2005 9:33,28.88,23.33
144,5/15/2005 9:34,28.7,23.51
145,5/15/2005 9:35,29.44,23.51
146,5/15/2005 9:36,30.18,23.51
147,5/15/2005 9:37,30.75,23.51
148,5/15/2005 9:38,31.13,23.51
149,5/15/2005 9:39,31.32,23.68
150,5/15/2005 9:40,31.32,23.68
151,5/15/2005 9:41,31.51,23.68
152,5/15/2005 9:42,31.7,23.68
153,5/15/2005 9:43,31.89,23.68
154,5/15/2005 9:44,32.08,23.86
155,5/15/2005 9:45,32.28,23.86
156,5/15/2005 9:46,32.47,23.86
157,5/15/2005 9:47,32.08,24.03
158,5/15/2005 9:48,31.89,24.03
159,5/15/2005 9:49,32.08,24.03
160,5/15/2005 9:50,32.08,24.03
161,5/15/2005 9:51,32.28,24.21
162,5/15/2005 9:52,32.28,24.21
163,5/15/2005 9:53,32.47,24.21
164,5/15/2005 9:54,32.08,24.38
165,5/15/2005 9:55,31.7,24.38
166,5/15/2005 9:56,31.32,24.38
167,5/15/2005 9:57,30.94,24.38
168,5/15/2005 9:58,30.56,24.38
169,5/15/2005 9:59,30.18,24.38
170,5/15/2005 10:00,30,24.38
171,5/15/2005 10:01,29.81,24.38
172,5/15/2005 10:02,29.44,24.38
173,5/15/2005 10:03,29.25,24.38
174,5/15/2005 10:04,29.44,24.38
175,5/15/2005 10:05,30.18,24.38
176,5/15/2005 10:06,30.75,24.38
177,5/15/2005 10:07,31.32,24.38
178,5/15/2005 10:08,31.7,24.38
179,5/15/2005 10:09,32.08,24.38
180,5/15/2005 10:10,32.28,24.38
181,5/15/2005 10:11,32.47,24.38
182,5/15/2005 10:12,32.08,24.38
183,5/15/2005 10:13,31.89,24.38
184,5/15/2005 10:14,32.08,24.56
185,5/15/2005 10:15,32.28,24.56
186,5/15/2005 10:16,32.28,24.56
