Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2005-05-15 07:19:00,2005-05-15 08:04:00,45.0,28.44304347826087,19.63869565217391
Off,2005-05-15 08:04:00,2005-05-15 08:15:00,11.0,26.7,20.343333333333334
On,2005-05-15 08:15:00,2005-05-15 08:38:00,23.0,29.853333333333335,20.840416666666666
Off,2005-05-15 08:38:00,2005-05-15 08:53:00,15.0,25.62,21.419375000000002
On,2005-05-15 08:53:00,2005-05-15 09:22:00,29.0,31.26233333333333,22.215999999999998
Off,2005-05-15 09:22:00,2005-05-15 09:34:00,12.0,28.7,23.238461538461536
On,2005-05-15 09:34:00,2005-05-15 09:54:00,20.0,31.524285714285714,23.840952380952377
Off,2005-05-15 09:54:00,2005-05-15 10:03:00,9.0,29.25,24.38
On,2005-05-15 10:03:00,2005-05-15 10:29:00,26.0,32.19148148148148,24.552222222222216
Off,2005-05-15 10:29:00,2005-05-15 10:41:00,12.0,29.81,25.186923076923073
On,2005-05-15 10:41:00,2005-05-15 11:11:00,30.0,32.92774193548387,25.818064516129038
Off,2005-05-15 11:11:00,2005-05-15 11:17:00,6.0,31.32,26.237142857142857
On,2005-05-15 11:17:00,2005-05-15 11:33:00,16.0,33.09294117647058,26.212941176470586
Off,2005-05-15 11:33:00,2005-05-15 11:50:00,17.0,31.32,26.45
On,2005-05-15 11:50:00,2005-05-15 12:01:00,11.0,32.99083333333333,27.075000000000003
Off,2005-05-15 12:01:00,2005-05-15 12:09:00,8.0,31.89,27.62
On,2005-05-15 12:09:00,2005-05-15 12:55:00,46.0,33.99787234042553,28.00978723404256
Off,2005-05-15 12:55:00,2005-05-15 13:02:00,7.0,34.04,28.975
On,2005-05-15 13:02:00,2005-05-15 13:37:00,35.0,35.30083333333333,29.248611111111114
Off,2005-05-15 13:37:00,2005-05-15 13:45:00,8.0,34.63,30.244444444444444
On,2005-05-15 13:45:00,2005-05-15 14:03:00,18.0,35.793684210526315,30.259999999999998
Off,2005-05-15 14:03:00,2005-05-15 14:14:00,11.0,33.25,29.840833333333332
On,2005-05-15 14:14:00,2005-05-15 14:30:00,16.0,35.35235294117647,28.57941176470588
Off,2005-05-15 14:30:00,2005-05-15 14:37:00,7.0,33.84,28.1475
On,2005-05-15 14:37:00,2005-05-15 15:21:00,44.0,36.72822222222222,29.407999999999987
Off,2005-05-15 15:21:00,2005-05-15 15:29:00,8.0,35.03,29.74666666666667
