Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2005-04-03 06:42:00,2005-04-03 06:47:00,5.0,17.008333333333336,8.268333333333333
Off,2005-04-03 06:47:00,2005-04-03 06:53:00,6.0,15.83,8.409999999999998
On,2005-04-03 06:53:00,2005-04-03 07:04:00,11.0,17.092499999999998,8.5375
Off,2005-04-03 07:04:00,2005-04-03 07:09:00,5.0,16.5,8.721666666666666
On,2005-04-03 07:09:00,2005-04-03 07:34:00,25.0,18.31576923076923,9.397307692307693
Off,2005-04-03 07:34:00,2005-04-03 07:38:00,4.0,18.19,10.416
On,2005-04-03 07:38:00,2005-04-03 07:47:00,9.0,18.784999999999997,10.823000000000002
Off,2005-04-03 07:47:00,2005-04-03 07:52:00,5.0,17.51,11.204999999999998
On,2005-04-03 07:52:00,2005-04-03 07:59:00,7.0,18.0625,11.60875
Off,2005-04-03 07:59:00,2005-04-03 08:06:00,7.0,16.84,12.133750000000001
On,2005-04-03 08:06:00,2005-04-03 08:38:00,32.0,19.59181818181818,13.102424242424242
Off,2005-04-03 08:38:00,2005-04-03 08:46:00,8.0,19.04,13.65
On,2005-04-03 08:46:00,2005-04-03 08:59:00,13.0,19.865714285714287,14.126428571428574
Off,2005-04-03 08:59:00,2005-04-03 09:04:00,5.0,19.04,15.075000000000001
On,2005-04-03 09:04:00,2005-04-03 09:17:00,13.0,19.780714285714282,15.566428571428572
Off,2005-04-03 09:17:00,2005-04-03 09:28:00,11.0,18.87,15.661666666666667
On,2005-04-03 09:28:00,2005-04-03 09:53:00,25.0,21.566153846153842,15.881538461538465
Off,2005-04-03 09:53:00,2005-04-03 10:06:00,13.0,20.4,16.28428571428571
On,2005-04-03 10:06:00,2005-04-03 10:19:00,13.0,21.57714285714286,16.68357142857143
Off,2005-04-03 10:19:00,2005-04-03 10:21:00,2.0,20.57,17.180000000000003
On,2005-04-03 10:21:00,2005-04-03 10:31:00,10.0,21.476363636363637,17.637272727272727
Off,2005-04-03 10:31:00,2005-04-03 10:37:00,6.0,20.91,19.81714285714286
On,2005-04-03 10:37:00,2005-04-03 11:14:00,37.0,22.437368421052636,20.589473684210525
Off,2005-04-03 11:14:00,2005-04-03 11:18:00,4.0,21.77,19.45
On,2005-04-03 11:18:00,2005-04-03 12:07:00,49.0,23.781,18.9244
Off,2005-04-03 12:07:00,2005-04-03 12:14:00,7.0,22.46,19.528750000000002
On,2005-04-03 12:14:00,2005-04-03 12:22:00,8.0,23.43,19.66333333333333
Off,2005-04-03 12:22:00,2005-04-03 12:29:00,7.0,23.16,19.57125
On,2005-04-03 12:29:00,2005-04-03 12:40:00,11.0,24.1775,20.005
Off,2005-04-03 12:40:00,2005-04-03 12:51:00,11.0,23.16,20.799166666666665
On,2005-04-03 12:51:00,2005-04-03 13:39:00,48.0,25.607755102040816,21.324489795918367
Off,2005-04-03 13:39:00,2005-04-03 13:46:00,7.0,25.27,21.903750000000002
On,2005-04-03 13:46:00,2005-04-03 14:02:00,16.0,26.07588235294118,21.83529411764706
Off,2005-04-03 14:02:00,2005-04-03 14:07:00,5.0,24.91,21.974999999999998
On,2005-04-03 14:07:00,2005-04-03 14:18:00,11.0,26.05666666666667,22.954166666666666
Off,2005-04-03 14:18:00,2005-04-03 14:27:00,9.0,25.27,22.688
On,2005-04-03 14:27:00,2005-04-03 15:15:00,48.0,26.615714285714287,23.369591836734692
Off,2005-04-03 15:15:00,2005-04-03 15:22:00,7.0,26.34,23.375
On,2005-04-03 15:22:00,2005-04-03 15:42:00,20.0,27.428571428571427,24.35952380952381
Off,2005-04-03 15:42:00,2005-04-03 15:50:00,8.0,26.88,24.344444444444445
On,2005-04-03 15:50:00,2005-04-03 16:00:00,10.0,27.599999999999998,23.920909090909092
Off,2005-04-03 16:00:00,2005-04-03 16:08:00,8.0,27.42,24.50111111111111
On,2005-04-03 16:08:00,2005-04-03 16:28:00,20.0,28.40047619047619,24.762857142857143
Off,2005-04-03 16:28:00,2005-04-03 16:39:00,11.0,27.06,24.310833333333335
On,2005-04-03 16:39:00,2005-04-03 16:50:00,11.0,27.78333333333333,24.382499999999997
Off,2005-04-03 16:50:00,2005-04-03 16:57:00,7.0,27.06,23.96625
On,2005-04-03 16:57:00,2005-04-03 17:09:00,12.0,27.796923076923072,23.97692307692307
Off,2005-04-03 17:09:00,2005-04-03 17:18:00,9.0,26.7,23.647000000000002
On,2005-04-03 17:18:00,2005-04-03 18:08:00,50.0,28.173725490196077,23.384313725490195
Off,2005-04-03 18:08:00,2005-04-03 18:20:00,12.0,25.98,22.157692307692304
On,2005-04-03 18:20:00,2005-04-03 18:37:00,17.0,26.6,21.30277777777778
Off,2005-04-03 18:37:00,2005-04-03 18:45:00,8.0,25.27,20.853333333333335
On,2005-04-03 18:45:00,2005-04-03 19:05:00,20.0,26.169047619047618,20.416190476190472
Off,2005-04-03 19:05:00,2005-04-03 19:12:00,7.0,25.09,19.57125
Nocturnal,2005-04-03 19:12:00,2005-04-04 06:03:00,651.0,22.002975460122702,12.947208588957055
Off,2005-04-04 06:03:00,2005-04-04 06:10:00,7.0,18.02,9.3875
On,2005-04-04 06:10:00,2005-04-04 06:31:00,21.0,19.47272727272727,9.584545454545454
Off,2005-04-04 06:31:00,2005-04-04 06:40:00,9.0,17.68,9.786999999999999
On,2005-04-04 06:40:00,2005-04-04 07:16:00,36.0,19.352432432432433,10.082432432432432
Off,2005-04-04 07:16:00,2005-04-04 07:23:00,7.0,18.87,10.85375
On,2005-04-04 07:23:00,2005-04-04 07:48:00,25.0,20.581538461538457,12.192692307692308
Off,2005-04-04 07:48:00,2005-04-04 07:55:00,7.0,19.04,12.81
On,2005-04-04 07:55:00,2005-04-04 08:10:00,15.0,20.35875,13.279375
Off,2005-04-04 08:10:00,2005-04-04 08:15:00,5.0,19.89,13.508333333333335
On,2005-04-04 08:15:00,2005-04-04 08:35:00,20.0,21.44,14.566666666666668
Off,2005-04-04 08:35:00,2005-04-04 08:42:00,7.0,20.57,15.39
On,2005-04-04 08:42:00,2005-04-04 09:03:00,21.0,22.322272727272733,16.571818181818177
Off,2005-04-04 09:03:00,2005-04-04 09:11:00,8.0,21.77,18.15222222222222
On,2005-04-04 09:11:00,2005-04-04 09:24:00,13.0,22.910714285714285,19.70785714285714
Off,2005-04-04 09:24:00,2005-04-04 09:31:00,7.0,23.16,19.7625
