#,date,tempe,ambient
1,05/14/05 06:21:00 AM,22.29,21.95
2,05/14/05 06:22:00 AM,21.95,21.95
3,05/14/05 06:23:00 AM,21.77,22.46
4,05/14/05 06:24:00 AM,21.77,23.16
5,05/14/05 06:25:00 AM,21.77,23.68
6,05/14/05 06:26:00 AM,21.77,23.68
7,05/14/05 06:27:00 AM,21.77,23.86
8,05/14/05 06:28:00 AM,22.12,24.56
9,05/14/05 06:29:00 AM,22.12,24.38
10,05/14/05 06:30:00 AM,22.29,24.74
11,05/14/05 06:31:00 AM,22.29,24.74
12,05/14/05 06:32:00 AM,22.46,24.91
13,05/14/05 06:33:00 AM,24.38,25.44
14,05/14/05 06:34:00 AM,25.98,25.62
15,05/14/05 06:35:00 AM,27.24,25.98
16,05/14/05 06:36:00 AM,27.78,25.62
17,05/14/05 06:37:00 AM,27.06,25.09
18,05/14/05 06:38:00 AM,26.52,24.74
19,05/14/05 06:39:00 AM,25.44,24.56
20,05/14/05 06:40:00 AM,24.74,24.74
21,05/14/05 06:41:00 AM,24.38,24.91
22,05/14/05 06:42:00 AM,24.03,24.56
23,05/14/05 06:43:00 AM,23.68,24.38
24,05/14/05 06:44:00 AM,24.21,24.38
25,05/14/05 06:45:00 AM,25.09,24.56
26,05/14/05 06:46:00 AM,25.62,24.56
27,05/14/05 06:47:00 AM,26.16,24.38
28,05/14/05 06:48:00 AM,26.7,24.74
29,05/14/05 06:49:00 AM,27.24,24.74
30,05/14/05 06:50:00 AM,27.6,24.74
31,05/14/05 06:51:00 AM,27.96,24.74
32,05/14/05 06:52:00 AM,28.33,24.74
33,05/14/05 06:53:00 AM,27.96,23.86
34,05/14/05 06:54:00 AM,28.15,24.38
35,05/14/05 06:55:00 AM,28.33,24.56
36,05/14/05 06:56:00 AM,28.33,24.38
37,05/14/05 06:57:00 AM,28.33,24.21
38,05/14/05 06:58:00 AM,28.15,24.74
39,05/14/05 06:59:00 AM,27.96,24.74
40,05/14/05 07:00:00 AM,27.78,24.56
41,05/14/05 07:01:00 AM,27.6,24.03
42,05/14/05 07:02:00 AM,27.78,23.68
43,05/14/05 07:03:00 AM,27.96,23.51
44,05/14/05 07:04:00 AM,28.7,23.68
45,05/14/05 07:05:00 AM,28.88,23.51
46,05/14/05 07:06:00 AM,28.7,23.51
47,05/14/05 07:07:00 AM,28.88,23.68
48,05/14/05 07:08:00 AM,28.7,23.68
49,05/14/05 07:09:00 AM,28.33,23.51
50,05/14/05 07:10:00 AM,28.51,23.68
51,05/14/05 07:11:00 AM,28.51,23.33
52,05/14/05 07:12:00 AM,28.51,23.33
53,05/14/05 07:13:00 AM,29.07,23.33
54,05/14/05 07:14:00 AM,29.25,23.33
55,05/14/05 07:15:00 AM,29.62,23.33
56,05/14/05 07:16:00 AM,30.0,23.51
57,05/14/05 07:17:00 AM,30.37,23.68
58,05/14/05 07:18:00 AM,30.56,23.68
59,05/14/05 07:19:00 AM,30.75,23.68
60,05/14/05 07:20:00 AM,30.75,23.86
61,05/14/05 07:21:00 AM,30.94,24.03
62,05/14/05 07:22:00 AM,30.94,23.86
63,05/14/05 07:23:00 AM,30.94,23.68
64,05/14/05 07:24:00 AM,31.13,23.68
65,05/14/05 07:25:00 AM,31.13,23.86
66,05/14/05 07:26:00 AM,31.13,24.03
67,05/14/05 07:27:00 AM,31.13,24.03
68,05/14/05 07:28:00 AM,31.13,24.03
69,05/14/05 07:29:00 AM,30.94,23.68
70,05/14/05 07:30:00 AM,30.56,23.68
71,05/14/05 07:31:00 AM,30.75,23.68
72,05/14/05 07:32:00 AM,31.13,23.68
73,05/14/05 07:33:00 AM,31.32,23.68
74,05/14/05 07:34:00 AM,31.51,23.33
75,05/14/05 07:35:00 AM,31.7,23.51
76,05/14/05 07:36:00 AM,31.89,23.68
77,05/14/05 07:37:00 AM,31.89,24.03
78,05/14/05 07:38:00 AM,31.51,24.21
79,05/14/05 07:39:00 AM,31.32,24.38
80,05/14/05 07:40:00 AM,30.94,24.56
81,05/14/05 07:41:00 AM,30.75,24.74
82,05/14/05 07:42:00 AM,30.94,24.74
83,05/14/05 07:43:00 AM,30.56,24.56
84,05/14/05 07:44:00 AM,30.18,24.56
85,05/14/05 07:45:00 AM,30.37,24.74
