Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2005-05-14 06:31:00,2005-05-14 06:36:00,5.0,25.021666666666665,25.385
Off,2005-05-14 06:36:00,2005-05-14 06:42:00,6.0,24.03,24.888571428571428
On,2005-05-14 06:42:00,2005-05-14 07:33:00,51.0,28.773269230769227,23.982307692307696
Off,2005-05-14 07:33:00,2005-05-14 07:48:00,15.0,29.44,24.230625
On,2005-05-14 07:48:00,2005-05-14 08:00:00,12.0,30.650769230769228,25.035384615384608
Off,2005-05-14 08:00:00,2005-05-14 08:02:00,2.0,31.13,25.266666666666666
On,2005-05-14 08:02:00,2005-05-14 08:14:00,12.0,32.49153846153847,25.786923076923078
Off,2005-05-14 08:14:00,2005-05-14 08:17:00,3.0,33.05,25.8
On,2005-05-14 08:17:00,2005-05-14 08:36:00,19.0,34.5945,26.321999999999996
Off,2005-05-14 08:36:00,2005-05-14 08:44:00,8.0,32.08,26.559999999999995
On,2005-05-14 08:44:00,2005-05-14 09:01:00,17.0,33.90777777777778,26.500000000000004
Off,2005-05-14 09:01:00,2005-05-14 09:11:00,10.0,32.66,26.74909090909091
On,2005-05-14 09:11:00,2005-05-14 09:33:00,22.0,34.74173913043477,27.858260869565214
Off,2005-05-14 09:33:00,2005-05-14 09:39:00,6.0,33.64,28.147142857142853
On,2005-05-14 09:39:00,2005-05-14 09:48:00,9.0,35.189,28.440999999999995
Off,2005-05-14 09:48:00,2005-05-14 09:59:00,11.0,32.66,27.99416666666667
On,2005-05-14 09:59:00,2005-05-14 10:07:00,8.0,34.114444444444445,27.36
Off,2005-05-14 10:07:00,2005-05-14 10:10:00,3.0,35.03,27.735
On,2005-05-14 10:10:00,2005-05-14 10:15:00,5.0,35.74666666666667,28.73
Off,2005-05-14 10:15:00,2005-05-14 10:18:00,3.0,34.83,28.747500000000002
On,2005-05-14 10:18:00,2005-05-14 10:22:00,4.0,35.15599999999999,28.074
Off,2005-05-14 10:22:00,2005-05-14 10:29:00,7.0,33.44,27.375
On,2005-05-14 10:29:00,2005-05-14 10:38:00,9.0,34.598,28.477999999999998
Off,2005-05-14 10:38:00,2005-05-14 10:43:00,5.0,33.64,28.055000000000003
On,2005-05-14 10:43:00,2005-05-14 11:00:00,17.0,35.52777777777778,29.27722222222222
Off,2005-05-14 11:00:00,2005-05-14 11:09:00,9.0,35.03,29.774
On,2005-05-14 11:09:00,2005-05-14 11:22:00,13.0,37.167857142857144,30.06642857142857
Off,2005-05-14 11:22:00,2005-05-14 11:28:00,6.0,34.23,30.07714285714286
On,2005-05-14 11:28:00,2005-05-14 11:39:00,11.0,37.185833333333335,29.98166666666667
Off,2005-05-14 11:39:00,2005-05-14 11:43:00,4.0,36.46,30.034
On,2005-05-14 11:43:00,2005-05-14 11:48:00,5.0,36.98,30.090000000000003
Off,2005-05-14 11:48:00,2005-05-14 11:53:00,5.0,34.83,29.53
On,2005-05-14 11:53:00,2005-05-14 11:56:00,3.0,35.44,29.905
Off,2005-05-14 11:56:00,2005-05-14 11:59:00,3.0,35.24,30.5625
On,2005-05-14 11:59:00,2005-05-14 12:04:00,5.0,37.275,30.528333333333332
Off,2005-05-14 12:04:00,2005-05-14 12:10:00,6.0,37.08,30.318571428571428
On,2005-05-14 12:10:00,2005-05-14 12:19:00,9.0,39.157000000000004,30.863999999999997
Off,2005-05-14 12:19:00,2005-05-14 12:24:00,5.0,36.67,30.28
