#,date,tempe,ambient
1,06/02/06 08:01:00 PM,35.85,27.96
2,06/02/06 08:02:00 PM,35.44,27.96
3,06/02/06 08:03:00 PM,35.03,27.96
4,06/02/06 08:04:00 PM,34.83,27.96
5,06/02/06 08:05:00 PM,34.43,27.78
6,06/02/06 08:06:00 PM,34.23,27.78
7,06/02/06 08:07:00 PM,34.04,27.78
8,06/02/06 08:08:00 PM,33.64,27.78
9,06/02/06 08:09:00 PM,33.64,27.78
10,06/02/06 08:10:00 PM,33.44,27.96
11,06/02/06 08:11:00 PM,33.44,27.78
12,06/02/06 08:12:00 PM,33.84,27.96
13,06/02/06 08:13:00 PM,34.23,27.78
14,06/02/06 08:14:00 PM,34.63,27.78
15,06/02/06 08:15:00 PM,35.03,27.78
16,06/02/06 08:16:00 PM,35.24,27.78
17,06/02/06 08:17:00 PM,35.44,27.78
18,06/02/06 08:18:00 PM,35.44,27.78
19,06/02/06 08:19:00 PM,35.64,27.78
20,06/02/06 08:20:00 PM,35.64,27.78
21,06/02/06 08:21:00 PM,35.85,27.78
22,06/02/06 08:22:00 PM,35.85,27.78
23,06/02/06 08:23:00 PM,35.85,27.78
24,06/02/06 08:24:00 PM,35.44,27.78
25,06/02/06 08:25:00 PM,35.03,27.78
26,06/02/06 08:26:00 PM,34.83,27.78
27,06/02/06 08:27:00 PM,34.43,27.6
28,06/02/06 08:28:00 PM,34.23,27.6
29,06/02/06 08:29:00 PM,34.04,27.6
30,06/02/06 08:30:00 PM,33.64,27.6
31,06/02/06 08:31:00 PM,33.44,27.42
32,06/02/06 08:32:00 PM,33.25,27.42
33,06/02/06 08:33:00 PM,33.05,27.42
34,06/02/06 08:34:00 PM,32.86,27.42
35,06/02/06 08:35:00 PM,32.66,27.24
36,06/02/06 08:36:00 PM,32.47,27.24
37,06/02/06 08:37:00 PM,32.28,27.24
38,06/02/06 08:38:00 PM,32.08,27.24
39,06/02/06 08:39:00 PM,31.89,27.24
40,06/02/06 08:40:00 PM,31.89,27.24
41,06/02/06 08:41:00 PM,32.08,27.06
42,06/02/06 08:42:00 PM,33.44,27.06
43,06/02/06 08:43:00 PM,34.23,27.06
44,06/02/06 08:44:00 PM,34.83,27.06
45,06/02/06 08:45:00 PM,35.03,27.06
46,06/02/06 08:46:00 PM,35.44,27.06
47,06/02/06 08:47:00 PM,35.64,27.24
48,06/02/06 08:48:00 PM,35.85,27.24
49,06/02/06 08:49:00 PM,36.05,27.24
50,06/02/06 08:50:00 PM,36.05,27.24
51,06/02/06 08:51:00 PM,36.05,27.24
52,06/02/06 08:52:00 PM,36.26,27.24
53,06/02/06 08:53:00 PM,36.26,27.24
54,06/02/06 08:54:00 PM,36.26,27.24
55,06/02/06 08:55:00 PM,36.26,27.24
56,06/02/06 08:56:00 PM,36.05,27.24
57,06/02/06 08:57:00 PM,36.05,27.24
58,06/02/06 08:58:00 PM,36.05,27.06
59,06/02/06 08:59:00 PM,36.05,27.06
60,06/02/06 09:00:00 PM,36.05,27.06
61,06/02/06 09:01:00 PM,35.85,27.06
62,06/02/06 09:02:00 PM,36.05,27.06
63,06/02/06 09:03:00 PM,36.05,27.06
64,06/02/06 09:04:00 PM,36.05,27.06
65,06/02/06 09:05:00 PM,36.05,27.06
66,06/02/06 09:06:00 PM,36.05,26.88
67,06/02/06 09:07:00 PM,36.05,26.88
68,06/02/06 09:08:00 PM,36.05,26.88
69,06/02/06 09:09:00 PM,36.05,27.06
70,06/02/06 09:10:00 PM,36.05,27.06
71,06/02/06 09:11:00 PM,36.05,27.06
72,06/02/06 09:12:00 PM,36.05,26.88
73,06/02/06 09:13:00 PM,36.05,26.88
74,06/02/06 09:14:00 PM,36.05,26.88
75,06/02/06 09:15:00 PM,36.05,26.88
76,06/02/06 09:16:00 PM,35.85,26.88
77,06/02/06 09:17:00 PM,35.85,26.88
78,06/02/06 09:18:00 PM,35.85,26.88
79,06/02/06 09:19:00 PM,35.64,26.88
80,06/02/06 09:20:00 PM,35.64,26.88
81,06/02/06 09:21:00 PM,35.64,26.88
82,06/02/06 09:22:00 PM,35.44,26.88
83,06/02/06 09:23:00 PM,35.44,26.7
84,06/02/06 09:24:00 PM,35.64,26.88
85,06/02/06 09:25:00 PM,35.64,26.88
86,06/02/06 09:26:00 PM,35.64,26.88
87,06/02/06 09:27:00 PM,35.64,26.7
88,06/02/06 09:28:00 PM,35.64,26.7
89,06/02/06 09:29:00 PM,35.64,26.7
90,06/02/06 09:30:00 PM,35.64,26.7
91,06/02/06 09:31:00 PM,35.64,26.88
92,06/02/06 09:32:00 PM,35.85,26.88
93,06/02/06 09:33:00 PM,35.85,26.88
94,06/02/06 09:34:00 PM,35.85,26.88
95,06/02/06 09:35:00 PM,35.85,26.88
96,06/02/06 09:36:00 PM,35.85,26.88
97,06/02/06 09:37:00 PM,35.64,26.88
98,06/02/06 09:38:00 PM,35.64,26.88
99,06/02/06 09:39:00 PM,35.64,26.88
100,06/02/06 09:40:00 PM,35.64,26.7
101,06/02/06 09:41:00 PM,35.64,26.7
102,06/02/06 09:42:00 PM,35.64,26.7
103,06/02/06 09:43:00 PM,35.64,26.7
104,06/02/06 09:44:00 PM,35.44,26.7
105,06/02/06 09:45:00 PM,35.44,26.7
106,06/02/06 09:46:00 PM,35.44,26.7
107,06/02/06 09:47:00 PM,35.44,26.7
108,06/02/06 09:48:00 PM,35.44,26.7
109,06/02/06 09:49:00 PM,35.24,26.7
110,06/02/06 09:50:00 PM,35.24,26.7
111,06/02/06 09:51:00 PM,35.24,26.52
112,06/02/06 09:52:00 PM,35.24,26.52
113,06/02/06 09:53:00 PM,35.24,26.52
114,06/02/06 09:54:00 PM,35.24,26.52
115,06/02/06 09:55:00 PM,35.24,26.52
116,06/02/06 09:56:00 PM,35.24,26.52
117,06/02/06 09:57:00 PM,35.24,26.52
118,06/02/06 09:58:00 PM,35.24,26.52
119,06/02/06 09:59:00 PM,35.24,26.52
120,06/02/06 10:00:00 PM,35.24,26.52
121,06/02/06 10:01:00 PM,34.83,26.34
122,06/02/06 10:02:00 PM,34.63,26.34
123,06/02/06 10:03:00 PM,34.63,26.34
124,06/02/06 10:04:00 PM,34.63,26.34
125,06/02/06 10:05:00 PM,34.63,26.34
126,06/02/06 10:06:00 PM,34.83,26.16
127,06/02/06 10:07:00 PM,34.83,26.16
128,06/02/06 10:08:00 PM,34.83,26.16
129,06/02/06 10:09:00 PM,34.83,26.16
130,06/02/06 10:10:00 PM,34.83,26.16
