Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2006-04-16 19:05:00,2006-04-16 19:32:00,27.0,29.440714285714282,25.09142857142857
Off,2006-04-16 19:32:00,2006-04-16 19:45:00,13.0,25.27,24.27
On,2006-04-16 19:45:00,2006-04-16 19:55:00,10.0,25.477272727272734,23.793636363636367
Off,2006-04-16 19:55:00,2006-04-16 20:03:00,8.0,24.21,23.35111111111111
On,2006-04-16 20:03:00,2006-04-16 20:15:00,12.0,25.29615384615385,23.156153846153845
Off,2006-04-16 20:15:00,2006-04-16 20:23:00,8.0,24.03,22.885555555555555
Nocturnal,2006-04-16 20:23:00,2006-04-17 07:01:00,638.0,25.317668231611894,20.76391236306729
Off,2006-04-17 07:01:00,2006-04-17 07:15:00,14.0,23.16,20.490666666666662
On,2006-04-17 07:15:00,2006-04-17 07:50:00,35.0,25.340277777777782,20.56527777777778
Off,2006-04-17 07:50:00,2006-04-17 08:02:00,12.0,23.51,20.792307692307695
On,2006-04-17 08:02:00,2006-04-17 08:26:00,24.0,26.627200000000002,21.406799999999997
Off,2006-04-17 08:26:00,2006-04-17 08:36:00,10.0,24.91,22.087272727272726
On,2006-04-17 08:36:00,2006-04-17 09:06:00,30.0,28.326774193548385,22.59774193548387
Off,2006-04-17 09:06:00,2006-04-17 09:17:00,11.0,25.62,23.040833333333335
On,2006-04-17 09:17:00,2006-04-17 15:35:00,378.0,31.41306068601583,28.222453825857517
Off,2006-04-17 15:35:00,2006-04-17 15:43:00,8.0,34.83,31.46888888888889
On,2006-04-17 15:43:00,2006-04-17 15:45:00,2.0,36.410000000000004,30.686666666666667
Off,2006-04-17 15:45:00,2006-04-17 15:48:00,3.0,36.26,30.512500000000003
On,2006-04-17 15:48:00,2006-04-17 15:52:00,4.0,38.282,30.977999999999998
Off,2006-04-17 15:52:00,2006-04-17 15:57:00,5.0,35.44,30.655
On,2006-04-17 15:57:00,2006-04-17 16:50:00,53.0,34.12240740740741,30.02222222222222
Off,2006-04-17 16:50:00,2006-04-17 16:53:00,3.0,31.32,28.8825
On,2006-04-17 16:53:00,2006-04-17 17:44:00,51.0,31.59269230769231,28.490000000000002
Off,2006-04-17 17:44:00,2006-04-17 17:57:00,13.0,29.25,27.43285714285715
On,2006-04-17 17:57:00,2006-04-17 18:11:00,14.0,30.726666666666667,27.119999999999997
Off,2006-04-17 18:11:00,2006-04-17 18:17:00,6.0,29.25,27.034285714285716
On,2006-04-17 18:17:00,2006-04-17 18:39:00,22.0,30.479130434782604,26.53565217391304
Off,2006-04-17 18:39:00,2006-04-17 18:50:00,11.0,27.42,26.085000000000004
On,2006-04-17 18:50:00,2006-04-17 19:15:00,25.0,28.770384615384614,25.786153846153848
Off,2006-04-17 19:15:00,2006-04-17 19:28:00,13.0,26.34,25.31785714285714
On,2006-04-17 19:28:00,2006-04-17 20:10:00,42.0,28.292093023255806,24.72697674418605
Off,2006-04-17 20:10:00,2006-04-17 20:24:00,14.0,25.09,24.265333333333327
