#,date,tempe,ambient
1,05/18/06 08:01:00 PM,38.35,25.62
2,05/18/06 08:02:00 PM,38.99,25.62
3,05/18/06 08:03:00 PM,39.21,25.44
4,05/18/06 08:04:00 PM,39.43,25.44
5,05/18/06 08:05:00 PM,38.99,25.44
6,05/18/06 08:06:00 PM,38.56,25.44
7,05/18/06 08:07:00 PM,38.99,25.44
8,05/18/06 08:08:00 PM,34.83,25.44
9,05/18/06 08:09:00 PM,32.66,25.44
10,05/18/06 08:10:00 PM,30.75,25.62
11,05/18/06 08:11:00 PM,29.44,25.62
12,05/18/06 08:12:00 PM,28.51,25.62
13,05/18/06 08:13:00 PM,27.96,25.44
14,05/18/06 08:14:00 PM,30.94,25.44
15,05/18/06 08:15:00 PM,35.85,25.27
16,05/18/06 08:16:00 PM,37.71,25.27
17,05/18/06 08:17:00 PM,38.56,25.27
18,05/18/06 08:18:00 PM,38.78,25.09
19,05/18/06 08:19:00 PM,37.92,24.91
20,05/18/06 08:20:00 PM,38.35,24.74
21,05/18/06 08:21:00 PM,37.5,24.74
22,05/18/06 08:22:00 PM,38.14,24.74
23,05/18/06 08:23:00 PM,38.35,24.56
24,05/18/06 08:24:00 PM,38.56,24.56
25,05/18/06 08:25:00 PM,38.56,24.56
26,05/18/06 08:26:00 PM,38.78,24.56
27,05/18/06 08:27:00 PM,38.78,24.56
28,05/18/06 08:28:00 PM,37.08,24.56
29,05/18/06 08:29:00 PM,38.35,24.56
30,05/18/06 08:30:00 PM,38.78,24.56
31,05/18/06 08:31:00 PM,38.14,24.56
32,05/18/06 08:32:00 PM,35.64,24.74
33,05/18/06 08:33:00 PM,37.29,24.56
34,05/18/06 08:34:00 PM,38.35,24.38
35,05/18/06 08:35:00 PM,38.99,24.21
36,05/18/06 08:36:00 PM,39.21,24.38
37,05/18/06 08:37:00 PM,39.43,24.38
38,05/18/06 08:38:00 PM,39.43,24.38
39,05/18/06 08:39:00 PM,38.99,24.38
40,05/18/06 08:40:00 PM,34.83,24.38
41,05/18/06 08:41:00 PM,32.08,24.38
42,05/18/06 08:42:00 PM,30.56,24.38
43,05/18/06 08:43:00 PM,29.62,24.38
44,05/18/06 08:44:00 PM,28.7,24.38
45,05/18/06 08:45:00 PM,27.96,24.38
46,05/18/06 08:46:00 PM,27.6,24.21
47,05/18/06 08:47:00 PM,30.37,24.21
48,05/18/06 08:48:00 PM,31.13,24.21
49,05/18/06 08:49:00 PM,34.23,24.21
50,05/18/06 08:50:00 PM,31.7,24.21
51,05/18/06 08:51:00 PM,32.86,24.21
52,05/18/06 08:52:00 PM,36.46,24.21
53,05/18/06 08:53:00 PM,37.92,24.03
54,05/18/06 08:54:00 PM,38.35,24.03
55,05/18/06 08:55:00 PM,38.56,24.03
56,05/18/06 08:56:00 PM,38.78,24.21
57,05/18/06 08:57:00 PM,38.14,24.21
58,05/18/06 08:58:00 PM,37.92,24.21
59,05/18/06 08:59:00 PM,38.14,24.21
60,05/18/06 09:00:00 PM,38.35,24.21
61,05/18/06 09:01:00 PM,38.35,24.21
62,05/18/06 09:02:00 PM,38.35,24.21
63,05/18/06 09:03:00 PM,38.56,24.21
64,05/18/06 09:04:00 PM,38.56,24.21
65,05/18/06 09:05:00 PM,38.56,24.21
66,05/18/06 09:06:00 PM,38.56,24.21
67,05/18/06 09:07:00 PM,38.35,24.21
68,05/18/06 09:08:00 PM,38.78,24.21
69,05/18/06 09:09:00 PM,38.78,24.38
70,05/18/06 09:10:00 PM,38.78,24.21
71,05/18/06 09:11:00 PM,38.78,24.21
72,05/18/06 09:12:00 PM,38.56,24.21
73,05/18/06 09:13:00 PM,38.56,24.21
74,05/18/06 09:14:00 PM,38.35,24.03
75,05/18/06 09:15:00 PM,38.35,24.03
76,05/18/06 09:16:00 PM,38.56,23.86
77,05/18/06 09:17:00 PM,36.67,24.03
78,05/18/06 09:18:00 PM,33.44,24.03
79,05/18/06 09:19:00 PM,30.94,24.03
80,05/18/06 09:20:00 PM,29.62,24.03
81,05/18/06 09:21:00 PM,28.88,23.86
82,05/18/06 09:22:00 PM,28.33,23.86
83,05/18/06 09:23:00 PM,27.06,23.68
84,05/18/06 09:24:00 PM,26.7,23.51
85,05/18/06 09:25:00 PM,31.32,23.51
86,05/18/06 09:26:00 PM,35.44,23.51
87,05/18/06 09:27:00 PM,37.29,23.33
88,05/18/06 09:28:00 PM,37.92,23.33
89,05/18/06 09:29:00 PM,38.35,23.33
90,05/18/06 09:30:00 PM,38.35,23.33
91,05/18/06 09:31:00 PM,38.56,23.33
92,05/18/06 09:32:00 PM,38.56,23.33
93,05/18/06 09:33:00 PM,38.56,23.33
94,05/18/06 09:34:00 PM,38.56,23.33
95,05/18/06 09:35:00 PM,38.35,23.33
96,05/18/06 09:36:00 PM,38.35,23.33
97,05/18/06 09:37:00 PM,38.14,23.33
98,05/18/06 09:38:00 PM,37.92,23.33
99,05/18/06 09:39:00 PM,38.56,23.33
100,05/18/06 09:40:00 PM,38.78,23.33
101,05/18/06 09:41:00 PM,37.71,23.33
102,05/18/06 09:42:00 PM,37.71,23.33
103,05/18/06 09:43:00 PM,37.71,23.33
104,05/18/06 09:44:00 PM,37.71,23.33
105,05/18/06 09:45:00 PM,37.71,23.33
106,05/18/06 09:46:00 PM,37.71,23.33
107,05/18/06 09:47:00 PM,37.5,23.33
108,05/18/06 09:48:00 PM,37.5,23.33
109,05/18/06 09:49:00 PM,37.71,23.33
110,05/18/06 09:50:00 PM,37.92,23.33
111,05/18/06 09:51:00 PM,37.92,23.33
112,05/18/06 09:52:00 PM,37.92,23.33
113,05/18/06 09:53:00 PM,37.92,23.33
114,05/18/06 09:54:00 PM,37.71,23.16
115,05/18/06 09:55:00 PM,37.71,23.16
116,05/18/06 09:56:00 PM,37.71,23.33
117,05/18/06 09:57:00 PM,37.71,23.33
118,05/18/06 09:58:00 PM,36.26,23.33
119,05/18/06 09:59:00 PM,36.26,23.16
120,05/18/06 10:00:00 PM,37.08,23.16
121,05/18/06 10:01:00 PM,37.5,23.16
122,05/18/06 10:02:00 PM,37.71,23.16
123,05/18/06 10:03:00 PM,37.92,23.33
124,05/18/06 10:04:00 PM,37.71,23.33
125,05/18/06 10:05:00 PM,37.71,23.33
126,05/18/06 10:06:00 PM,37.5,23.16
127,05/18/06 10:07:00 PM,37.5,23.16
128,05/18/06 10:08:00 PM,37.5,23.16
129,05/18/06 10:09:00 PM,37.5,23.16
130,05/18/06 10:10:00 PM,37.29,23.16
131,05/18/06 10:11:00 PM,37.29,23.16
132,05/18/06 10:12:00 PM,37.5,23.16
133,05/18/06 10:13:00 PM,37.71,23.33
134,05/18/06 10:14:00 PM,38.14,23.33
135,05/18/06 10:15:00 PM,38.14,23.33
136,05/18/06 10:16:00 PM,38.14,23.33
137,05/18/06 10:17:00 PM,38.14,23.33
138,05/18/06 10:18:00 PM,38.14,23.16
139,05/18/06 10:19:00 PM,38.35,23.16
140,05/18/06 10:20:00 PM,38.35,23.16
141,05/18/06 10:21:00 PM,38.35,23.16
