Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-03-05 19:01:00,2006-03-06 06:47:00,706.0,34.157609618104665,14.402630834512022
Off,2006-03-06 06:47:00,2006-03-06 06:50:00,3.0,23.33,11.29
On,2006-03-06 06:50:00,2006-03-06 07:29:00,39.0,34.5375,11.67475
Off,2006-03-06 07:29:00,2006-03-06 07:36:00,7.0,17.51,12.427500000000002
On,2006-03-06 07:36:00,2006-03-06 08:04:00,28.0,34.43724137931034,13.333448275862072
Off,2006-03-06 08:04:00,2006-03-06 08:11:00,7.0,17.68,14.12875
On,2006-03-06 08:11:00,2006-03-06 08:53:00,42.0,35.30813953488372,15.30186046511628
Off,2006-03-06 08:53:00,2006-03-06 09:01:00,8.0,19.72,16.148888888888887
On,2006-03-06 09:01:00,2006-03-06 09:34:00,33.0,34.38441176470589,17.186176470588233
Off,2006-03-06 09:34:00,2006-03-06 09:39:00,5.0,22.81,17.679999999999996
On,2006-03-06 09:39:00,2006-03-06 10:04:00,25.0,35.452307692307684,18.105
Off,2006-03-06 10:04:00,2006-03-06 10:11:00,7.0,23.68,18.42375
On,2006-03-06 10:11:00,2006-03-06 10:42:00,31.0,36.468125,18.944375
Off,2006-03-06 10:42:00,2006-03-06 10:46:00,4.0,26.52,19.21
On,2006-03-06 10:46:00,2006-03-06 11:22:00,36.0,36.06189189189189,19.995675675675674
Off,2006-03-06 11:22:00,2006-03-06 11:26:00,4.0,27.78,20.977999999999998
On,2006-03-06 11:26:00,2006-03-06 12:29:00,63.0,37.4825,22.417031249999997
Off,2006-03-06 12:29:00,2006-03-06 12:36:00,7.0,29.07,22.855
On,2006-03-06 12:36:00,2006-03-06 13:01:00,25.0,37.34653846153846,23.648846153846154
Off,2006-03-06 13:01:00,2006-03-06 13:13:00,12.0,26.52,24.20923076923077
On,2006-03-06 13:13:00,2006-03-06 13:23:00,10.0,35.719090909090916,24.654545454545453
Off,2006-03-06 13:23:00,2006-03-06 13:31:00,8.0,28.33,24.697777777777777
On,2006-03-06 13:31:00,2006-03-06 14:09:00,38.0,37.84435897435897,24.587435897435892
Off,2006-03-06 14:09:00,2006-03-06 14:19:00,10.0,26.88,24.414545454545454
On,2006-03-06 14:19:00,2006-03-06 14:42:00,23.0,36.345416666666665,24.14916666666667
Off,2006-03-06 14:42:00,2006-03-06 14:48:00,6.0,29.44,23.732857142857142
On,2006-03-06 14:48:00,2006-03-06 15:44:00,56.0,37.91894736842105,23.61771929824561
Off,2006-03-06 15:44:00,2006-03-06 15:53:00,9.0,29.62,23.299
On,2006-03-06 15:53:00,2006-03-06 16:18:00,25.0,36.84769230769231,23.02461538461538
Off,2006-03-06 16:18:00,2006-03-06 16:23:00,5.0,28.15,22.955000000000002
On,2006-03-06 16:23:00,2006-03-06 16:50:00,27.0,36.742142857142866,22.470357142857136
