#,date,tempe,ambient
1,05/16/05 06:16:00 AM,21.26,21.6
2,05/16/05 06:17:00 AM,21.26,21.6
3,05/16/05 06:18:00 AM,21.26,21.77
4,05/16/05 06:19:00 AM,21.26,22.12
5,05/16/05 06:20:00 AM,21.26,22.46
6,05/16/05 06:21:00 AM,21.26,22.64
7,05/16/05 06:22:00 AM,21.26,22.81
8,05/16/05 06:23:00 AM,21.26,22.81
9,05/16/05 06:24:00 AM,21.26,22.98
10,05/16/05 06:25:00 AM,21.43,22.98
11,05/16/05 06:26:00 AM,21.43,22.98
12,05/16/05 06:27:00 AM,21.26,22.98
13,05/16/05 06:28:00 AM,21.26,22.98
14,05/16/05 06:29:00 AM,21.43,22.98
15,05/16/05 06:30:00 AM,21.43,22.98
16,05/16/05 06:31:00 AM,21.43,22.98
17,05/16/05 06:32:00 AM,21.43,22.81
18,05/16/05 06:33:00 AM,21.43,22.81
19,05/16/05 06:34:00 AM,21.43,22.81
20,05/16/05 06:35:00 AM,21.43,22.81
21,05/16/05 06:36:00 AM,21.43,22.98
22,05/16/05 06:37:00 AM,21.43,22.98
23,05/16/05 06:38:00 AM,21.6,22.98
24,05/16/05 06:39:00 AM,21.6,22.81
25,05/16/05 06:40:00 AM,21.43,22.81
26,05/16/05 06:41:00 AM,21.43,22.81
27,05/16/05 06:42:00 AM,21.6,22.81
28,05/16/05 06:43:00 AM,21.6,22.81
29,05/16/05 06:44:00 AM,21.6,22.64
30,05/16/05 06:45:00 AM,21.6,22.98
31,05/16/05 06:46:00 AM,21.43,23.16
32,05/16/05 06:47:00 AM,21.43,23.16
33,05/16/05 06:48:00 AM,21.43,22.98
34,05/16/05 06:49:00 AM,21.43,22.98
35,05/16/05 06:50:00 AM,21.26,22.98
36,05/16/05 06:51:00 AM,21.26,23.16
37,05/16/05 06:52:00 AM,21.26,23.16
38,05/16/05 06:53:00 AM,21.26,23.16
39,05/16/05 06:54:00 AM,21.26,23.16
40,05/16/05 06:55:00 AM,21.26,22.98
41,05/16/05 06:56:00 AM,21.26,22.81
42,05/16/05 06:57:00 AM,21.26,22.64
43,05/16/05 06:58:00 AM,21.26,22.64
44,05/16/05 06:59:00 AM,21.26,22.64
45,05/16/05 07:00:00 AM,21.26,22.64
46,05/16/05 07:01:00 AM,21.26,22.46
47,05/16/05 07:02:00 AM,21.26,22.46
48,05/16/05 07:03:00 AM,21.26,22.46
49,05/16/05 07:04:00 AM,21.26,22.64
50,05/16/05 07:05:00 AM,21.26,22.64
51,05/16/05 07:06:00 AM,21.26,22.29
52,05/16/05 07:07:00 AM,21.26,22.12
53,05/16/05 07:08:00 AM,21.26,22.12
54,05/16/05 07:09:00 AM,21.26,21.95
55,05/16/05 07:10:00 AM,21.26,21.95
56,05/16/05 07:11:00 AM,21.26,21.95
57,05/16/05 07:12:00 AM,21.26,22.29
58,05/16/05 07:13:00 AM,21.26,22.46
59,05/16/05 07:14:00 AM,21.26,22.64
60,05/16/05 07:15:00 AM,21.26,22.81
61,05/16/05 07:16:00 AM,21.26,22.98
62,05/16/05 07:17:00 AM,21.43,23.16
63,05/16/05 07:18:00 AM,21.43,23.33
64,05/16/05 07:19:00 AM,21.43,23.33
65,05/16/05 07:20:00 AM,21.43,23.51
66,05/16/05 07:21:00 AM,21.43,23.33
67,05/16/05 07:22:00 AM,21.43,23.33
68,05/16/05 07:23:00 AM,21.43,23.51
69,05/16/05 07:24:00 AM,21.43,23.51
70,05/16/05 07:25:00 AM,21.43,23.51
71,05/16/05 07:26:00 AM,21.43,23.51
72,05/16/05 07:27:00 AM,21.43,23.51
73,05/16/05 07:28:00 AM,21.43,23.33
74,05/16/05 07:29:00 AM,21.43,23.33
75,05/16/05 07:30:00 AM,21.43,23.16
76,05/16/05 07:31:00 AM,21.43,23.16
77,05/16/05 07:32:00 AM,21.43,22.98
78,05/16/05 07:33:00 AM,21.26,22.81
79,05/16/05 07:34:00 AM,21.26,22.46
80,05/16/05 07:35:00 AM,21.26,22.29
81,05/16/05 07:36:00 AM,21.26,22.29
82,05/16/05 07:37:00 AM,21.43,22.12
83,05/16/05 07:38:00 AM,21.43,22.12
84,05/16/05 07:39:00 AM,21.43,22.12
85,05/16/05 07:40:00 AM,21.43,21.95
86,05/16/05 07:41:00 AM,21.43,21.95
87,05/16/05 07:42:00 AM,21.43,21.95
88,05/16/05 07:43:00 AM,21.43,21.95
89,05/16/05 07:44:00 AM,21.43,21.95
90,05/16/05 07:45:00 AM,21.43,22.29
91,05/16/05 07:46:00 AM,21.43,22.46
92,05/16/05 07:47:00 AM,21.43,22.81
93,05/16/05 07:48:00 AM,21.43,22.98
94,05/16/05 07:49:00 AM,21.6,23.16
95,05/16/05 07:50:00 AM,21.6,23.16
96,05/16/05 07:51:00 AM,21.6,23.33
97,05/16/05 07:52:00 AM,21.6,23.33
98,05/16/05 07:53:00 AM,21.6,23.33
99,05/16/05 07:54:00 AM,21.6,23.33
100,05/16/05 07:55:00 AM,21.6,23.16
101,05/16/05 07:56:00 AM,21.77,23.33
102,05/16/05 07:57:00 AM,21.77,23.33
103,05/16/05 07:58:00 AM,21.77,23.33
