#,date,tempe,ambient
1,06/06/05 07:41:00 AM,25.09,23.33
2,06/06/05 07:42:00 AM,25.09,23.33
3,06/06/05 07:43:00 AM,25.09,23.33
4,06/06/05 07:44:00 AM,25.09,23.33
5,06/06/05 07:45:00 AM,25.09,23.51
6,06/06/05 07:46:00 AM,24.91,23.51
7,06/06/05 07:47:00 AM,24.91,23.51
8,06/06/05 07:48:00 AM,24.91,23.51
9,06/06/05 07:49:00 AM,25.09,23.51
10,06/06/05 07:50:00 AM,25.09,23.51
11,06/06/05 07:51:00 AM,25.09,23.51
12,06/06/05 07:52:00 AM,25.09,23.68
13,06/06/05 07:53:00 AM,25.09,23.68
14,06/06/05 07:54:00 AM,25.27,23.68
15,06/06/05 07:55:00 AM,25.27,23.86
16,06/06/05 07:56:00 AM,25.27,23.86
17,06/06/05 07:57:00 AM,25.44,24.03
18,06/06/05 07:58:00 AM,25.44,24.03
19,06/06/05 07:59:00 AM,25.44,24.03
20,06/06/05 08:00:00 AM,25.44,24.21
21,06/06/05 08:01:00 AM,25.62,24.21
22,06/06/05 08:02:00 AM,25.62,24.38
23,06/06/05 08:03:00 AM,25.62,24.56
24,06/06/05 08:04:00 AM,25.62,24.56
25,06/06/05 08:05:00 AM,25.8,24.56
26,06/06/05 08:06:00 AM,25.8,24.74
27,06/06/05 08:07:00 AM,25.8,24.74
28,06/06/05 08:08:00 AM,25.98,24.74
29,06/06/05 08:09:00 AM,25.98,24.91
30,06/06/05 08:10:00 AM,25.98,24.91
31,06/06/05 08:11:00 AM,26.16,25.09
32,06/06/05 08:12:00 AM,26.16,25.09
33,06/06/05 08:13:00 AM,26.16,25.09
34,06/06/05 08:14:00 AM,26.16,25.09
35,06/06/05 08:15:00 AM,26.34,25.09
36,06/06/05 08:16:00 AM,26.34,25.27
37,06/06/05 08:17:00 AM,26.34,25.27
38,06/06/05 08:18:00 AM,26.34,25.27
39,06/06/05 08:19:00 AM,26.34,25.27
40,06/06/05 08:20:00 AM,26.52,25.09
41,06/06/05 08:21:00 AM,26.52,25.27
42,06/06/05 08:22:00 AM,26.52,25.27
43,06/06/05 08:23:00 AM,26.7,25.44
44,06/06/05 08:24:00 AM,26.7,25.44
45,06/06/05 08:25:00 AM,26.7,25.62
46,06/06/05 08:26:00 AM,26.88,25.62
47,06/06/05 08:27:00 AM,26.88,25.8
48,06/06/05 08:28:00 AM,26.88,25.8
49,06/06/05 08:29:00 AM,27.06,25.98
50,06/06/05 08:30:00 AM,27.06,26.16
51,06/06/05 08:31:00 AM,27.06,26.16
52,06/06/05 08:32:00 AM,27.24,26.16
53,06/06/05 08:33:00 AM,27.24,25.98
54,06/06/05 08:34:00 AM,27.24,25.8
55,06/06/05 08:35:00 AM,27.24,25.44
56,06/06/05 08:36:00 AM,27.06,25.27
57,06/06/05 08:37:00 AM,27.24,25.27
58,06/06/05 08:38:00 AM,27.24,25.44
59,06/06/05 08:39:00 AM,27.24,25.62
60,06/06/05 08:40:00 AM,27.42,25.62
61,06/06/05 08:41:00 AM,27.24,25.44
62,06/06/05 08:42:00 AM,27.24,25.62
63,06/06/05 08:43:00 AM,27.42,25.62
64,06/06/05 08:44:00 AM,27.42,25.8
65,06/06/05 08:45:00 AM,27.42,25.8
66,06/06/05 08:46:00 AM,27.42,25.98
67,06/06/05 08:47:00 AM,27.42,25.98
68,06/06/05 08:48:00 AM,27.6,25.98
69,06/06/05 08:49:00 AM,27.6,26.16
70,06/06/05 08:50:00 AM,27.42,25.8
71,06/06/05 08:51:00 AM,27.42,25.62
72,06/06/05 08:52:00 AM,27.42,25.44
73,06/06/05 08:53:00 AM,27.42,25.27
74,06/06/05 08:54:00 AM,27.6,25.44
75,06/06/05 08:55:00 AM,27.6,25.27
76,06/06/05 08:56:00 AM,27.6,25.27
77,06/06/05 08:57:00 AM,27.6,25.44
78,06/06/05 08:58:00 AM,27.6,25.44
79,06/06/05 08:59:00 AM,27.42,25.27
80,06/06/05 09:00:00 AM,27.6,25.27
81,06/06/05 09:01:00 AM,27.6,25.44
82,06/06/05 09:02:00 AM,27.78,25.62
83,06/06/05 09:03:00 AM,27.78,25.8
84,06/06/05 09:04:00 AM,27.96,25.98
85,06/06/05 09:05:00 AM,27.78,25.98
86,06/06/05 09:06:00 AM,27.78,25.98
87,06/06/05 09:07:00 AM,27.96,26.16
88,06/06/05 09:08:00 AM,28.15,26.34
89,06/06/05 09:09:00 AM,28.15,26.52
90,06/06/05 09:10:00 AM,28.15,26.52
91,06/06/05 09:11:00 AM,28.33,26.7
92,06/06/05 09:12:00 AM,28.33,26.7
93,06/06/05 09:13:00 AM,28.33,26.7
94,06/06/05 09:14:00 AM,28.33,26.88
95,06/06/05 09:15:00 AM,28.88,27.06
96,06/06/05 09:16:00 AM,29.25,27.24
97,06/06/05 09:17:00 AM,29.44,27.24
98,06/06/05 09:18:00 AM,29.81,27.42
99,06/06/05 09:19:00 AM,30.0,27.6
100,06/06/05 09:20:00 AM,30.37,27.24
101,06/06/05 09:21:00 AM,30.75,27.42
102,06/06/05 09:22:00 AM,31.13,27.42
103,06/06/05 09:23:00 AM,31.51,27.42
104,06/06/05 09:24:00 AM,31.7,27.24
105,06/06/05 09:25:00 AM,31.89,26.88
106,06/06/05 09:26:00 AM,32.28,26.7
107,06/06/05 09:27:00 AM,32.28,26.88
108,06/06/05 09:28:00 AM,32.86,26.88
109,06/06/05 09:29:00 AM,33.05,26.88
110,06/06/05 09:30:00 AM,33.44,26.52
111,06/06/05 09:31:00 AM,33.64,26.34
112,06/06/05 09:32:00 AM,33.84,26.52
113,06/06/05 09:33:00 AM,34.04,26.7
114,06/06/05 09:34:00 AM,33.84,26.88
115,06/06/05 09:35:00 AM,33.84,27.24
116,06/06/05 09:36:00 AM,34.63,27.6
117,06/06/05 09:37:00 AM,35.44,27.24
118,06/06/05 09:38:00 AM,35.03,27.06
119,06/06/05 09:39:00 AM,34.04,26.88
120,06/06/05 09:40:00 AM,33.64,26.88
121,06/06/05 09:41:00 AM,33.25,27.06
122,06/06/05 09:42:00 AM,33.05,27.24
123,06/06/05 09:43:00 AM,32.86,27.42
124,06/06/05 09:44:00 AM,33.05,27.42
125,06/06/05 09:45:00 AM,33.84,27.6
126,06/06/05 09:46:00 AM,34.23,27.78
127,06/06/05 09:47:00 AM,34.63,27.96
128,06/06/05 09:48:00 AM,34.63,27.96
129,06/06/05 09:49:00 AM,34.63,27.96
130,06/06/05 09:50:00 AM,35.44,28.15
131,06/06/05 09:51:00 AM,35.03,28.15
132,06/06/05 09:52:00 AM,34.83,28.33
133,06/06/05 09:53:00 AM,34.83,28.33
134,06/06/05 09:54:00 AM,35.03,28.33
135,06/06/05 09:55:00 AM,35.44,27.78
136,06/06/05 09:56:00 AM,35.85,27.78
137,06/06/05 09:57:00 AM,35.44,27.96
138,06/06/05 09:58:00 AM,34.83,28.15
139,06/06/05 09:59:00 AM,34.63,28.33
140,06/06/05 10:00:00 AM,34.23,28.33
141,06/06/05 10:01:00 AM,33.84,27.96
142,06/06/05 10:02:00 AM,33.44,27.6
143,06/06/05 10:03:00 AM,33.64,27.42
144,06/06/05 10:04:00 AM,34.43,27.42
145,06/06/05 10:05:00 AM,34.83,27.6
146,06/06/05 10:06:00 AM,35.03,27.6
147,06/06/05 10:07:00 AM,35.44,27.96
148,06/06/05 10:08:00 AM,35.64,28.51
149,06/06/05 10:09:00 AM,35.85,28.88
150,06/06/05 10:10:00 AM,36.46,29.07
151,06/06/05 10:11:00 AM,36.88,29.25
152,06/06/05 10:12:00 AM,37.08,29.44
153,06/06/05 10:13:00 AM,37.29,29.44
154,06/06/05 10:14:00 AM,37.5,29.44
155,06/06/05 10:15:00 AM,37.5,29.44
156,06/06/05 10:16:00 AM,37.29,29.44
157,06/06/05 10:17:00 AM,36.88,29.44
158,06/06/05 10:18:00 AM,36.46,29.62
159,06/06/05 10:19:00 AM,36.26,29.62
160,06/06/05 10:20:00 AM,36.46,29.62
161,06/06/05 10:21:00 AM,36.26,29.62
162,06/06/05 10:22:00 AM,36.26,29.62
163,06/06/05 10:23:00 AM,36.26,29.44
164,06/06/05 10:24:00 AM,36.05,29.62
165,06/06/05 10:25:00 AM,35.85,29.44
166,06/06/05 10:26:00 AM,35.64,29.44
167,06/06/05 10:27:00 AM,35.44,29.44
168,06/06/05 10:28:00 AM,35.24,29.44
169,06/06/05 10:29:00 AM,35.24,29.25
170,06/06/05 10:30:00 AM,35.24,29.25
171,06/06/05 10:31:00 AM,35.24,28.88
172,06/06/05 10:32:00 AM,35.44,28.51
173,06/06/05 10:33:00 AM,35.64,28.15
174,06/06/05 10:34:00 AM,35.85,27.78
