Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2006-03-25 12:01:00,2006-03-25 12:10:00,9.0,34.956,35.684000000000005
Off,2006-03-25 12:10:00,2006-03-25 12:18:00,8.0,25.98,32.27111111111111
On,2006-03-25 12:18:00,2006-03-25 12:43:00,25.0,34.34961538461538,34.87730769230769
Off,2006-03-25 12:43:00,2006-03-25 12:53:00,10.0,27.78,32.75999999999999
On,2006-03-25 12:53:00,2006-03-25 13:15:00,22.0,33.49347826086957,34.72347826086956
Off,2006-03-25 13:15:00,2006-03-25 13:21:00,6.0,29.81,33.45142857142857
On,2006-03-25 13:21:00,2006-03-25 13:42:00,21.0,34.057272727272725,34.16272727272729
Off,2006-03-25 13:42:00,2006-03-25 13:51:00,9.0,26.34,31.784
On,2006-03-25 13:51:00,2006-03-25 14:17:00,26.0,33.721851851851845,34.758148148148145
Off,2006-03-25 14:17:00,2006-03-25 14:27:00,10.0,27.06,33.13818181818181
On,2006-03-25 14:27:00,2006-03-25 14:52:00,25.0,35.00269230769231,35.88
Off,2006-03-25 14:52:00,2006-03-25 14:58:00,6.0,27.42,33.20285714285715
On,2006-03-25 14:58:00,2006-03-25 15:30:00,32.0,33.8469696969697,34.36212121212122
Off,2006-03-25 15:30:00,2006-03-25 15:33:00,3.0,29.44,33.644999999999996
On,2006-03-25 15:33:00,2006-03-25 15:57:00,24.0,34.1984,34.5896
Off,2006-03-25 15:57:00,2006-03-25 16:02:00,5.0,26.52,31.998333333333335
On,2006-03-25 16:02:00,2006-03-25 16:41:00,39.0,33.58175,33.796
Off,2006-03-25 16:41:00,2006-03-25 16:50:00,9.0,25.44,31.568
On,2006-03-25 16:50:00,2006-03-25 17:09:00,19.0,33.67100000000001,33.105999999999995
Off,2006-03-25 17:09:00,2006-03-25 17:16:00,7.0,23.16,30.63375
On,2006-03-25 17:16:00,2006-03-25 17:47:00,31.0,32.97375,33.2196875
Off,2006-03-25 17:47:00,2006-03-25 17:54:00,7.0,25.8,31.8325
On,2006-03-25 17:54:00,2006-03-25 18:44:00,50.0,33.56666666666666,33.171176470588236
Off,2006-03-25 18:44:00,2006-03-25 19:03:00,19.0,20.4,28.8875
Nocturnal,2006-03-25 19:03:00,2006-03-26 01:25:00,382.0,30.371827676240205,26.768250652741518
Off,2006-03-26 01:25:00,2006-03-26 01:30:00,5.0,21.77,13.786666666666669
Nocturnal,2006-03-26 01:30:00,2006-03-26 06:29:00,299.0,31.76373333333333,22.551366666666667
Off,2006-03-26 06:29:00,2006-03-26 06:33:00,4.0,18.02,21.601999999999997
On,2006-03-26 06:33:00,2006-03-26 07:02:00,29.0,30.594333333333335,23.01566666666666
Off,2006-03-26 07:02:00,2006-03-26 07:06:00,4.0,18.36,22.362000000000002
On,2006-03-26 07:06:00,2006-03-26 07:30:00,24.0,30.6924,24.28
Off,2006-03-26 07:30:00,2006-03-26 07:37:00,7.0,22.98,25.7575
On,2006-03-26 07:37:00,2006-03-26 08:12:00,35.0,30.32944444444444,28.13166666666667
Off,2006-03-26 08:12:00,2006-03-26 08:17:00,5.0,24.21,27.571666666666662
On,2006-03-26 08:17:00,2006-03-26 08:30:00,13.0,30.142142857142854,28.952857142857145
Off,2006-03-26 08:30:00,2006-03-26 08:36:00,6.0,25.09,29.121428571428574
On,2006-03-26 08:36:00,2006-03-26 08:52:00,16.0,32.45058823529411,30.95705882352941
Off,2006-03-26 08:52:00,2006-03-26 08:58:00,6.0,25.27,30.244285714285716
On,2006-03-26 08:58:00,2006-03-26 09:14:00,16.0,32.78411764705883,31.92176470588235
Off,2006-03-26 09:14:00,2006-03-26 09:19:00,5.0,25.44,30.69666666666667
On,2006-03-26 09:19:00,2006-03-26 09:35:00,16.0,32.99529411764706,32.470588235294116
Off,2006-03-26 09:35:00,2006-03-26 09:42:00,7.0,25.98,30.6925
On,2006-03-26 09:42:00,2006-03-26 09:56:00,14.0,32.787333333333336,31.679999999999996
Off,2006-03-26 09:56:00,2006-03-26 10:03:00,7.0,25.44,30.192500000000003
On,2006-03-26 10:03:00,2006-03-26 10:17:00,14.0,32.298,31.31333333333333
Off,2006-03-26 10:17:00,2006-03-26 10:22:00,5.0,25.44,29.848333333333333
On,2006-03-26 10:22:00,2006-03-26 10:35:00,13.0,32.21857142857143,31.310714285714283
Off,2006-03-26 10:35:00,2006-03-26 10:42:00,7.0,24.21,29.3575
On,2006-03-26 10:42:00,2006-03-26 10:48:00,6.0,28.805714285714288,30.141428571428573
Off,2006-03-26 10:48:00,2006-03-26 10:51:00,3.0,27.78,30.987499999999997
On,2006-03-26 10:51:00,2006-03-26 11:11:00,20.0,33.86523809523809,32.61142857142857
Off,2006-03-26 11:11:00,2006-03-26 11:21:00,10.0,24.21,29.959999999999994
On,2006-03-26 11:21:00,2006-03-26 11:29:00,8.0,33.00333333333333,32.3811111111111
Off,2006-03-26 11:29:00,2006-03-26 11:32:00,3.0,28.51,31.950000000000003
On,2006-03-26 11:32:00,2006-03-26 11:41:00,9.0,32.842,32.263999999999996
Off,2006-03-26 11:41:00,2006-03-26 11:45:00,4.0,25.98,30.798000000000002
On,2006-03-26 11:45:00,2006-03-26 11:53:00,8.0,32.21333333333333,32.16
Off,2006-03-26 11:53:00,2006-03-26 11:57:00,4.0,26.52,31.136000000000003
On,2006-03-26 11:57:00,2006-03-26 12:10:00,13.0,32.58857142857142,32.42285714285714
Off,2006-03-26 12:10:00,2006-03-26 12:21:00,11.0,22.29,29.30583333333334
On,2006-03-26 12:21:00,2006-03-26 12:49:00,28.0,33.90793103448276,33.069310344827585
Off,2006-03-26 12:49:00,2006-03-26 12:58:00,9.0,27.42,31.571999999999996
On,2006-03-26 12:58:00,2006-03-26 13:08:00,10.0,32.83909090909091,33.11545454545455
Off,2006-03-26 13:08:00,2006-03-26 13:15:00,7.0,29.62,32.738749999999996
On,2006-03-26 13:15:00,2006-03-26 13:32:00,17.0,34.522777777777776,33.96111111111111
Off,2006-03-26 13:32:00,2006-03-26 13:39:00,7.0,29.07,32.765
On,2006-03-26 13:39:00,2006-03-26 13:57:00,18.0,33.595789473684206,34.22684210526315
Off,2006-03-26 13:57:00,2006-03-26 14:04:00,7.0,28.15,32.86875
On,2006-03-26 14:04:00,2006-03-26 14:10:00,6.0,32.48285714285714,33.67714285714286
Off,2006-03-26 14:10:00,2006-03-26 14:17:00,7.0,28.88,32.98625
On,2006-03-26 14:17:00,2006-03-26 14:40:00,23.0,34.24,34.04708333333333
Off,2006-03-26 14:40:00,2006-03-26 14:48:00,8.0,27.24,31.727777777777774
On,2006-03-26 14:48:00,2006-03-26 15:21:00,33.0,33.89,33.16323529411764
Off,2006-03-26 15:21:00,2006-03-26 15:30:00,9.0,24.38,29.953999999999997
On,2006-03-26 15:30:00,2006-03-26 15:38:00,8.0,31.93444444444444,31.65555555555555
Off,2006-03-26 15:38:00,2006-03-26 15:41:00,3.0,27.96,31.515
On,2006-03-26 15:41:00,2006-03-26 15:53:00,12.0,31.50769230769231,31.599999999999998
Off,2006-03-26 15:53:00,2006-03-26 15:57:00,4.0,25.8,30.345999999999997
On,2006-03-26 15:57:00,2006-03-26 16:20:00,23.0,32.61541666666667,32.42875
Off,2006-03-26 16:20:00,2006-03-26 16:25:00,5.0,25.8,31.2
On,2006-03-26 16:25:00,2006-03-26 16:51:00,26.0,32.37518518518519,32.596666666666664
Off,2006-03-26 16:51:00,2006-03-26 16:58:00,7.0,24.38,30.3125
On,2006-03-26 16:58:00,2006-03-26 17:08:00,10.0,31.83272727272727,32.3609090909091
Off,2006-03-26 17:08:00,2006-03-26 17:14:00,6.0,25.98,31.13714285714286
On,2006-03-26 17:14:00,2006-03-26 17:37:00,23.0,32.25791666666667,32.78
Off,2006-03-26 17:37:00,2006-03-26 17:44:00,7.0,23.51,30.365000000000002
On,2006-03-26 17:44:00,2006-03-26 18:19:00,35.0,33.6275,32.470555555555556
Off,2006-03-26 18:19:00,2006-03-26 18:28:00,9.0,22.98,29.211000000000002
On,2006-03-26 18:28:00,2006-03-26 18:36:00,8.0,29.817777777777778,30.529999999999998
Off,2006-03-26 18:36:00,2006-03-26 18:40:00,4.0,25.44,30.119999999999997
Nocturnal,2006-03-26 18:40:00,2006-03-27 00:17:00,337.0,32.45698224852071,27.38426035502959
Off,2006-03-27 00:17:00,2006-03-27 00:23:00,6.0,22.46,22.275714285714287
Nocturnal,2006-03-27 00:23:00,2006-03-27 04:05:00,222.0,26.502466367713,21.388206278026903
Off,2006-03-27 04:05:00,2006-03-27 04:11:00,6.0,26.88,17.777142857142856
On,2006-03-27 04:11:00,2006-03-27 04:17:00,6.0,28.711428571428574,16.984285714285715
Off,2006-03-27 04:17:00,2006-03-27 04:27:00,10.0,27.42,16.211818181818185
On,2006-03-27 04:27:00,2006-03-27 04:32:00,5.0,28.58,16.58666666666667
