Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2005-07-03 06:49:00,2005-07-03 06:55:00,6.0,25.704285714285714,23.859999999999996
Off,2005-07-03 06:55:00,2005-07-03 06:59:00,4.0,25.27,23.86
On,2005-07-03 06:59:00,2005-07-03 07:36:00,37.0,28.49684210526316,24.206842105263156
Off,2005-07-03 07:36:00,2005-07-03 08:22:00,46.0,25.62,24.82744680851063
On,2005-07-03 08:22:00,2005-07-03 08:48:00,26.0,27.569259259259255,25.38444444444444
Off,2005-07-03 08:48:00,2005-07-03 08:57:00,9.0,26.88,25.854000000000003
On,2005-07-03 08:57:00,2005-07-03 09:22:00,25.0,28.813461538461542,26.028461538461535
Off,2005-07-03 09:22:00,2005-07-03 09:29:00,7.0,27.78,26.3175
On,2005-07-03 09:29:00,2005-07-03 10:00:00,31.0,29.109375,26.638125
Off,2005-07-03 10:00:00,2005-07-03 10:17:00,17.0,27.78,26.9
On,2005-07-03 10:17:00,2005-07-03 13:03:00,166.0,28.36808383233533,26.064311377245506
Off,2005-07-03 13:03:00,2005-07-03 13:15:00,12.0,27.42,25.730769230769234
On,2005-07-03 13:15:00,2005-07-03 13:55:00,40.0,29.567073170731707,26.05902439024391
Off,2005-07-03 13:55:00,2005-07-03 14:16:00,21.0,26.88,26.127272727272725
On,2005-07-03 14:16:00,2005-07-03 14:39:00,23.0,30.027916666666666,26.797500000000003
Off,2005-07-03 14:39:00,2005-07-03 14:53:00,14.0,28.33,27.816
On,2005-07-03 14:53:00,2005-07-03 15:29:00,36.0,30.389189189189192,28.26675675675676
Off,2005-07-03 15:29:00,2005-07-03 15:41:00,12.0,28.7,27.961538461538456
On,2005-07-03 15:41:00,2005-07-03 15:59:00,18.0,30.983157894736838,28.038947368421052
Off,2005-07-03 15:59:00,2005-07-03 16:16:00,17.0,28.33,28.04555555555556
On,2005-07-03 16:16:00,2005-07-03 16:30:00,14.0,30.71666666666666,27.780666666666658
Off,2005-07-03 16:30:00,2005-07-03 16:35:00,5.0,29.81,28.118333333333336
On,2005-07-03 16:35:00,2005-07-03 17:02:00,27.0,31.841785714285717,29.193571428571428
Off,2005-07-03 17:02:00,2005-07-03 17:08:00,6.0,30.18,29.86428571428571
On,2005-07-03 17:08:00,2005-07-03 17:29:00,21.0,31.191363636363636,30.047727272727272
Off,2005-07-03 17:29:00,2005-07-03 17:37:00,8.0,30.56,30.328888888888887
On,2005-07-03 17:37:00,2005-07-03 17:48:00,11.0,32.151666666666664,30.56
Off,2005-07-03 17:48:00,2005-07-03 17:58:00,10.0,30.56,30.200909090909093
On,2005-07-03 17:58:00,2005-07-03 18:08:00,10.0,32.38636363636363,30.69818181818182
Off,2005-07-03 18:08:00,2005-07-03 18:14:00,6.0,30.75,30.66857142857143
Nocturnal,2005-07-03 18:14:00,2005-07-04 06:20:00,726.0,28.769284731774412,26.44341127922971
Off,2005-07-04 06:20:00,2005-07-04 06:31:00,11.0,25.8,24.694999999999997
On,2005-07-04 06:31:00,2005-07-04 06:47:00,16.0,28.208235294117646,24.56
Off,2005-07-04 06:47:00,2005-07-04 06:58:00,11.0,26.34,24.56
On,2005-07-04 06:58:00,2005-07-04 07:19:00,21.0,29.804090909090906,24.897727272727266
Off,2005-07-04 07:19:00,2005-07-04 07:33:00,14.0,27.42,25.33733333333333
On,2005-07-04 07:33:00,2005-07-04 07:53:00,20.0,30.741428571428564,25.571428571428573
Off,2005-07-04 07:53:00,2005-07-04 08:07:00,14.0,26.88,25.980000000000008
On,2005-07-04 08:07:00,2005-07-04 08:30:00,23.0,30.15375,26.459999999999997
Off,2005-07-04 08:30:00,2005-07-04 08:44:00,14.0,28.7,26.855999999999998
On,2005-07-04 08:44:00,2005-07-04 08:55:00,11.0,31.101666666666663,27.075000000000003
Off,2005-07-04 08:55:00,2005-07-04 09:03:00,8.0,28.51,27.279999999999998
On,2005-07-04 09:03:00,2005-07-04 09:20:00,17.0,30.343333333333337,27.59
Off,2005-07-04 09:20:00,2005-07-04 09:28:00,8.0,28.33,27.78
On,2005-07-04 09:28:00,2005-07-04 09:39:00,11.0,30.271666666666665,27.884999999999994
Off,2005-07-04 09:39:00,2005-07-04 09:49:00,10.0,28.7,28.14818181818182
On,2005-07-04 09:49:00,2005-07-04 09:56:00,7.0,29.14125,28.375
Off,2005-07-04 09:56:00,2005-07-04 10:02:00,6.0,29.07,28.618571428571425
On,2005-07-04 10:02:00,2005-07-04 10:11:00,9.0,30.413999999999998,28.681
Off,2005-07-04 10:11:00,2005-07-04 10:21:00,10.0,28.88,28.7
