Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2005-04-21 08:23:00,2005-04-21 08:39:00,16.0,21.730588235294114,3.8905882352941177
Off,2005-04-21 08:39:00,2005-04-21 08:51:00,12.0,20.57,3.8884615384615384
On,2005-04-21 08:51:00,2005-04-21 08:55:00,4.0,21.5,7.232000000000001
Off,2005-04-21 08:55:00,2005-04-21 09:00:00,5.0,21.08,12.526666666666666
On,2005-04-21 09:00:00,2005-04-21 09:12:00,12.0,23.983076923076922,13.323846153846155
Off,2005-04-21 09:12:00,2005-04-21 09:37:00,25.0,21.26,11.89192307692308
On,2005-04-21 09:37:00,2005-04-21 09:45:00,8.0,22.874444444444446,3.5800000000000005
Off,2005-04-21 09:45:00,2005-04-21 09:54:00,9.0,22.29,5.782000000000001
On,2005-04-21 09:54:00,2005-04-21 10:02:00,8.0,24.504444444444445,14.688888888888888
Off,2005-04-21 10:02:00,2005-04-21 10:07:00,5.0,24.03,14.933333333333332
On,2005-04-21 10:07:00,2005-04-21 10:16:00,9.0,25.288000000000004,15.260000000000002
Off,2005-04-21 10:16:00,2005-04-21 10:34:00,18.0,23.68,15.606842105263157
On,2005-04-21 10:34:00,2005-04-21 11:24:00,50.0,25.990980392156867,18.576274509803923
Off,2005-04-21 11:24:00,2005-04-21 11:41:00,17.0,25.62,17.44888888888889
On,2005-04-21 11:41:00,2005-04-21 11:46:00,5.0,26.37,18.105
Off,2005-04-21 11:46:00,2005-04-21 11:54:00,8.0,26.7,18.322222222222223
On,2005-04-21 11:54:00,2005-04-21 12:13:00,19.0,28.02,17.707500000000003
Off,2005-04-21 12:13:00,2005-04-21 12:25:00,12.0,26.88,18.255384615384614
On,2005-04-21 12:25:00,2005-04-21 12:29:00,4.0,28.96,18.02
Off,2005-04-21 12:29:00,2005-04-21 12:49:00,20.0,26.7,17.570952380952377
On,2005-04-21 12:49:00,2005-04-21 12:57:00,8.0,28.95555555555556,18.90777777777778
Off,2005-04-21 12:57:00,2005-04-21 13:04:00,7.0,27.96,19.01875
On,2005-04-21 13:04:00,2005-04-21 13:12:00,8.0,29.84111111111111,19.24777777777778
Off,2005-04-21 13:12:00,2005-04-21 13:23:00,11.0,28.15,18.898333333333337
On,2005-04-21 13:23:00,2005-04-21 13:28:00,5.0,30.043333333333333,18.84166666666667
Off,2005-04-21 13:28:00,2005-04-21 13:34:00,6.0,28.88,19.55
On,2005-04-21 13:34:00,2005-04-21 13:39:00,5.0,29.906666666666666,19.606666666666666
Off,2005-04-21 13:39:00,2005-04-21 13:45:00,6.0,29.62,19.137142857142855
On,2005-04-21 13:45:00,2005-04-21 13:56:00,11.0,31.172500000000003,19.238333333333333
Off,2005-04-21 13:56:00,2005-04-21 14:04:00,8.0,28.15,18.794444444444444
On,2005-04-21 14:04:00,2005-04-21 14:12:00,8.0,29.446666666666665,18.511111111111113
Off,2005-04-21 14:12:00,2005-04-21 14:19:00,7.0,29.62,18.8275
On,2005-04-21 14:19:00,2005-04-21 14:27:00,8.0,30.52111111111111,18.775555555555556
Off,2005-04-21 14:27:00,2005-04-21 14:34:00,7.0,29.07,18.700000000000003
On,2005-04-21 14:34:00,2005-04-21 14:41:00,7.0,30.96875,19.125
Off,2005-04-21 14:41:00,2005-04-21 14:53:00,12.0,28.33,18.765384615384615
On,2005-04-21 14:53:00,2005-04-21 14:56:00,3.0,29.255,18.53
Off,2005-04-21 14:56:00,2005-04-21 15:05:00,9.0,28.33,18.529999999999998
On,2005-04-21 15:05:00,2005-04-21 15:28:00,23.0,31.955833333333334,20.24416666666667
Off,2005-04-21 15:28:00,2005-04-21 15:41:00,13.0,29.62,19.48928571428571
On,2005-04-21 15:41:00,2005-04-21 15:51:00,10.0,31.03454545454546,19.812727272727273
Off,2005-04-21 15:51:00,2005-04-21 15:58:00,7.0,30.0,20.2725
On,2005-04-21 15:58:00,2005-04-21 16:21:00,23.0,37.002500000000005,20.835833333333333
Off,2005-04-21 16:21:00,2005-04-21 16:40:00,19.0,30.0,19.040000000000003
On,2005-04-21 16:40:00,2005-04-21 16:54:00,14.0,31.98133333333333,18.733999999999998
Off,2005-04-21 16:54:00,2005-04-21 17:18:00,24.0,29.81,19.8084
On,2005-04-21 17:18:00,2005-04-21 17:25:00,7.0,30.91875,20.93125
Off,2005-04-21 17:25:00,2005-04-21 17:29:00,4.0,30.0,20.706
On,2005-04-21 17:29:00,2005-04-21 17:34:00,5.0,31.100000000000005,20.258333333333336
Off,2005-04-21 17:34:00,2005-04-21 17:39:00,5.0,30.18,19.918333333333333
On,2005-04-21 17:39:00,2005-04-21 17:52:00,13.0,33.7,20.66928571428571
Off,2005-04-21 17:52:00,2005-04-21 18:15:00,23.0,32.08,21.049583333333334
On,2005-04-21 18:15:00,2005-04-21 18:27:00,12.0,33.815384615384616,20.386923076923075
Off,2005-04-21 18:27:00,2005-04-21 19:18:00,51.0,27.96,20.174423076923077
On,2005-04-21 19:18:00,2005-04-21 19:30:00,12.0,32.06153846153846,18.451538461538465
Off,2005-04-21 19:30:00,2005-04-21 19:40:00,10.0,26.88,17.835454545454542
On,2005-04-21 19:40:00,2005-04-21 19:53:00,13.0,30.999285714285715,17.349999999999998
Off,2005-04-21 19:53:00,2005-04-21 20:14:00,21.0,25.09,16.67863636363636
On,2005-04-21 20:14:00,2005-04-21 20:18:00,4.0,25.915999999999997,16.17
Off,2005-04-21 20:18:00,2005-04-22 06:42:00,624.0,16.84,11.424144
On,2005-04-22 06:42:00,2005-04-22 06:58:00,16.0,20.924705882352942,8.27
Off,2005-04-22 06:58:00,2005-04-22 07:08:00,10.0,18.87,8.564545454545454
On,2005-04-22 07:08:00,2005-04-22 07:14:00,6.0,24.88714285714286,8.58
Off,2005-04-22 07:14:00,2005-04-22 07:20:00,6.0,20.57,8.70142857142857
On,2005-04-22 07:20:00,2005-04-22 07:29:00,9.0,27.341,8.886
Off,2005-04-22 07:29:00,2005-04-22 07:42:00,13.0,17.85,9.39357142857143
On,2005-04-22 07:42:00,2005-04-22 07:57:00,15.0,21.9075,9.600000000000001
Off,2005-04-22 07:57:00,2005-04-22 08:07:00,10.0,20.23,10.171818181818182
On,2005-04-22 08:07:00,2005-04-22 08:13:00,6.0,23.035714285714285,10.642857142857142
Off,2005-04-22 08:13:00,2005-04-22 08:18:00,5.0,21.95,11.261666666666665
On,2005-04-22 08:18:00,2005-04-22 08:26:00,8.0,27.55,11.403333333333332
Off,2005-04-22 08:26:00,2005-04-22 08:34:00,8.0,22.81,11.855555555555556
On,2005-04-22 08:34:00,2005-04-22 08:56:00,22.0,28.160000000000004,12.595217391304347
