#,date,tempe,ambient
1,04/14/06 08:34:00 PM,24.74,25.8
2,04/14/06 08:35:00 PM,24.74,25.62
3,04/14/06 08:36:00 PM,24.56,25.62
4,04/14/06 08:37:00 PM,24.56,25.44
5,04/14/06 08:38:00 PM,24.56,25.44
6,04/14/06 08:39:00 PM,24.56,25.44
7,04/14/06 08:40:00 PM,24.38,25.44
8,04/14/06 08:41:00 PM,24.38,25.27
9,04/14/06 08:42:00 PM,24.38,25.27
10,04/14/06 08:43:00 PM,24.38,25.27
11,04/14/06 08:44:00 PM,24.38,25.09
12,04/14/06 08:45:00 PM,24.21,25.09
13,04/14/06 08:46:00 PM,24.21,24.91
14,04/14/06 08:47:00 PM,24.21,24.91
15,04/14/06 08:48:00 PM,24.03,24.74
16,04/14/06 08:49:00 PM,24.03,24.74
17,04/14/06 08:50:00 PM,24.03,24.74
18,04/14/06 08:51:00 PM,24.03,24.74
19,04/14/06 08:52:00 PM,24.03,24.56
20,04/14/06 08:53:00 PM,23.86,24.56
21,04/14/06 08:54:00 PM,23.86,24.56
22,04/14/06 08:55:00 PM,23.86,24.38
23,04/14/06 08:56:00 PM,23.86,24.38
24,04/14/06 08:57:00 PM,23.86,24.38
25,04/14/06 08:58:00 PM,23.68,24.38
26,04/14/06 08:59:00 PM,23.68,24.38
27,04/14/06 09:00:00 PM,23.68,24.21
28,04/14/06 09:01:00 PM,23.68,24.21
29,04/14/06 09:02:00 PM,23.68,24.21
30,04/14/06 09:03:00 PM,23.68,24.21
31,04/14/06 09:04:00 PM,23.51,24.03
32,04/14/06 09:05:00 PM,23.51,24.03
33,04/14/06 09:06:00 PM,23.51,24.03
34,04/14/06 09:07:00 PM,23.51,24.03
35,04/14/06 09:08:00 PM,23.51,24.03
36,04/14/06 09:09:00 PM,23.51,24.03
37,04/14/06 09:10:00 PM,23.51,24.03
38,04/14/06 09:11:00 PM,23.33,23.86
39,04/14/06 09:12:00 PM,23.33,23.86
40,04/14/06 09:13:00 PM,23.33,23.86
41,04/14/06 09:14:00 PM,23.33,23.86
42,04/14/06 09:15:00 PM,23.33,23.68
43,04/14/06 09:16:00 PM,23.33,23.68
44,04/14/06 09:17:00 PM,23.16,23.68
45,04/14/06 09:18:00 PM,23.16,23.68
46,04/14/06 09:19:00 PM,23.16,23.51
47,04/14/06 09:20:00 PM,23.16,23.51
48,04/14/06 09:21:00 PM,23.16,23.51
49,04/14/06 09:22:00 PM,23.16,23.51
50,04/14/06 09:23:00 PM,23.16,23.51
51,04/14/06 09:24:00 PM,23.16,23.51
52,04/14/06 09:25:00 PM,23.16,23.51
53,04/14/06 09:26:00 PM,22.98,23.51
54,04/14/06 09:27:00 PM,22.98,23.33
55,04/14/06 09:28:00 PM,22.98,23.33
56,04/14/06 09:29:00 PM,22.98,23.33
57,04/14/06 09:30:00 PM,22.98,23.33
58,04/14/06 09:31:00 PM,22.98,23.33
59,04/14/06 09:32:00 PM,22.98,23.33
60,04/14/06 09:33:00 PM,22.98,23.33
61,04/14/06 09:34:00 PM,22.98,23.33
62,04/14/06 09:35:00 PM,22.98,23.16
63,04/14/06 09:36:00 PM,22.98,23.16
64,04/14/06 09:37:00 PM,22.98,23.16
65,04/14/06 09:38:00 PM,22.98,23.16
66,04/14/06 09:39:00 PM,22.98,23.16
67,04/14/06 09:40:00 PM,22.98,23.16
68,04/14/06 09:41:00 PM,22.98,23.16
69,04/14/06 09:42:00 PM,22.98,23.16
70,04/14/06 09:43:00 PM,22.81,22.98
71,04/14/06 09:44:00 PM,22.81,22.98
72,04/14/06 09:45:00 PM,22.81,22.98
73,04/14/06 09:46:00 PM,22.81,22.98
74,04/14/06 09:47:00 PM,22.81,22.98
75,04/14/06 09:48:00 PM,22.81,22.98
76,04/14/06 09:49:00 PM,22.81,22.98
77,04/14/06 09:50:00 PM,22.81,22.98
78,04/14/06 09:51:00 PM,22.81,22.98
79,04/14/06 09:52:00 PM,22.81,22.98
80,04/14/06 09:53:00 PM,22.81,22.98
81,04/14/06 09:54:00 PM,22.81,22.98
82,04/14/06 09:55:00 PM,22.81,22.98
83,04/14/06 09:56:00 PM,22.81,22.98
84,04/14/06 09:57:00 PM,22.81,22.98
85,04/14/06 09:58:00 PM,22.81,22.98
86,04/14/06 09:59:00 PM,22.81,22.81
87,04/14/06 10:00:00 PM,22.64,22.81
88,04/14/06 10:01:00 PM,22.64,22.81
89,04/14/06 10:02:00 PM,22.64,22.81
90,04/14/06 10:03:00 PM,22.64,22.81
91,04/14/06 10:04:00 PM,22.64,22.81
92,04/14/06 10:05:00 PM,22.64,22.81
93,04/14/06 10:06:00 PM,22.64,22.81
94,04/14/06 10:07:00 PM,22.64,22.81
95,04/14/06 10:08:00 PM,22.64,22.81
96,04/14/06 10:09:00 PM,22.64,22.81
97,04/14/06 10:10:00 PM,22.64,22.64
98,04/14/06 10:11:00 PM,22.46,22.64
99,04/14/06 10:12:00 PM,22.46,22.64
100,04/14/06 10:13:00 PM,22.46,22.64
101,04/14/06 10:14:00 PM,22.46,22.64
102,04/14/06 10:15:00 PM,22.46,22.64
103,04/14/06 10:16:00 PM,22.46,22.64
104,04/14/06 10:17:00 PM,22.46,22.64
105,04/14/06 10:18:00 PM,22.46,22.64
106,04/14/06 10:19:00 PM,22.46,22.64
107,04/14/06 10:20:00 PM,22.29,22.64
108,04/14/06 10:21:00 PM,22.29,22.64
109,04/14/06 10:22:00 PM,22.29,22.64
110,04/14/06 10:23:00 PM,22.29,22.46
111,04/14/06 10:24:00 PM,22.29,22.46
112,04/14/06 10:25:00 PM,22.29,22.46
113,04/14/06 10:26:00 PM,22.29,22.46
114,04/14/06 10:27:00 PM,22.29,22.46
115,04/14/06 10:28:00 PM,22.29,22.46
116,04/14/06 10:29:00 PM,22.12,22.46
117,04/14/06 10:30:00 PM,22.12,22.46
118,04/14/06 10:31:00 PM,22.12,22.29
119,04/14/06 10:32:00 PM,22.12,22.29
120,04/14/06 10:33:00 PM,22.12,22.29
121,04/14/06 10:34:00 PM,22.12,22.29
122,04/14/06 10:35:00 PM,22.12,22.29
123,04/14/06 10:36:00 PM,21.95,22.29
124,04/14/06 10:37:00 PM,21.95,22.29
125,04/14/06 10:38:00 PM,21.95,22.29
126,04/14/06 10:39:00 PM,21.95,22.12
127,04/14/06 10:40:00 PM,21.95,22.12
128,04/14/06 10:41:00 PM,21.95,22.12
129,04/14/06 10:42:00 PM,21.95,22.12
130,04/14/06 10:43:00 PM,21.95,22.12
131,04/14/06 10:44:00 PM,21.95,22.12
132,04/14/06 10:45:00 PM,21.95,22.12
133,04/14/06 10:46:00 PM,21.95,22.12
134,04/14/06 10:47:00 PM,21.95,22.12
135,04/14/06 10:48:00 PM,21.95,22.12
136,04/14/06 10:49:00 PM,21.95,22.12
137,04/14/06 10:50:00 PM,21.95,22.12
138,04/14/06 10:51:00 PM,21.95,22.12
139,04/14/06 10:52:00 PM,21.95,21.95
140,04/14/06 10:53:00 PM,21.77,21.95
141,04/14/06 10:54:00 PM,21.77,21.95
142,04/14/06 10:55:00 PM,21.77,21.95
143,04/14/06 10:56:00 PM,21.77,21.95
144,04/14/06 10:57:00 PM,21.77,21.95
145,04/14/06 10:58:00 PM,21.77,21.95
146,04/14/06 10:59:00 PM,21.6,21.95
147,04/14/06 11:00:00 PM,21.6,21.95
148,04/14/06 11:01:00 PM,21.6,21.77
149,04/14/06 11:02:00 PM,21.6,21.77
150,04/14/06 11:03:00 PM,21.6,21.77
151,04/14/06 11:04:00 PM,21.6,21.77
152,04/14/06 11:05:00 PM,21.43,21.77
153,04/14/06 11:06:00 PM,21.43,21.77
154,04/14/06 11:07:00 PM,21.43,21.77
155,04/14/06 11:08:00 PM,21.43,21.6
156,04/14/06 11:09:00 PM,21.43,21.6
157,04/14/06 11:10:00 PM,21.43,21.6
158,04/14/06 11:11:00 PM,21.43,21.6
159,04/14/06 11:12:00 PM,21.43,21.6
160,04/14/06 11:13:00 PM,21.43,21.6
161,04/14/06 11:14:00 PM,21.26,21.6
162,04/14/06 11:15:00 PM,21.26,21.6
163,04/14/06 11:16:00 PM,21.26,21.6
164,04/14/06 11:17:00 PM,21.08,21.6
165,04/14/06 11:18:00 PM,21.08,21.43
166,04/14/06 11:19:00 PM,21.08,21.43
167,04/14/06 11:20:00 PM,21.08,21.43
168,04/14/06 11:21:00 PM,20.91,21.43
169,04/14/06 11:22:00 PM,20.91,21.43
170,04/14/06 11:23:00 PM,20.91,21.43
171,04/14/06 11:24:00 PM,20.91,21.43
172,04/14/06 11:25:00 PM,20.91,21.26
173,04/14/06 11:26:00 PM,20.91,21.26
174,04/14/06 11:27:00 PM,20.91,21.26
175,04/14/06 11:28:00 PM,20.91,21.26
176,04/14/06 11:29:00 PM,20.91,21.26
177,04/14/06 11:30:00 PM,20.91,21.26
178,04/14/06 11:31:00 PM,20.91,21.26
179,04/14/06 11:32:00 PM,20.91,21.26
180,04/14/06 11:33:00 PM,20.91,21.26
181,04/14/06 11:34:00 PM,20.91,21.26
182,04/14/06 11:35:00 PM,20.91,21.26
183,04/14/06 11:36:00 PM,20.74,21.26
184,04/14/06 11:37:00 PM,20.74,21.08
185,04/14/06 11:38:00 PM,20.74,21.08
186,04/14/06 11:39:00 PM,20.74,21.08
187,04/14/06 11:40:00 PM,20.57,21.08
188,04/14/06 11:41:00 PM,20.57,21.08
189,04/14/06 11:42:00 PM,20.57,21.08
190,04/14/06 11:43:00 PM,20.57,20.91
191,04/14/06 11:44:00 PM,20.57,20.91
192,04/14/06 11:45:00 PM,20.57,20.91
193,04/14/06 11:46:00 PM,20.4,20.91
194,04/14/06 11:47:00 PM,20.4,20.91
195,04/14/06 11:48:00 PM,20.4,20.91
196,04/14/06 11:49:00 PM,20.4,20.91
197,04/14/06 11:50:00 PM,20.4,20.91
198,04/14/06 11:51:00 PM,20.4,20.91
199,04/14/06 11:52:00 PM,20.4,20.91
200,04/14/06 11:53:00 PM,20.4,20.91
