#,date,tempe,ambient
1,04/16/06 07:01:00 PM,28.88,27.06
2,04/16/06 07:02:00 PM,28.88,27.24
3,04/16/06 07:03:00 PM,29.25,27.42
4,04/16/06 07:04:00 PM,29.62,27.42
5,04/16/06 07:05:00 PM,29.81,27.6
6,04/16/06 07:06:00 PM,30.0,27.6
7,04/16/06 07:07:00 PM,30.18,27.42
8,04/16/06 07:08:00 PM,29.81,27.42
9,04/16/06 07:09:00 PM,30.0,27.06
10,04/16/06 07:10:00 PM,29.62,26.7
11,04/16/06 07:11:00 PM,29.62,26.34
12,04/16/06 07:12:00 PM,29.62,26.34
13,04/16/06 07:13:00 PM,29.44,26.34
14,04/16/06 07:14:00 PM,28.15,26.16
15,04/16/06 07:15:00 PM,27.24,25.98
16,04/16/06 07:16:00 PM,26.52,25.8
17,04/16/06 07:17:00 PM,26.16,25.8
18,04/16/06 07:18:00 PM,25.98,25.8
19,04/16/06 07:19:00 PM,25.8,25.44
20,04/16/06 07:20:00 PM,25.62,25.44
21,04/16/06 07:21:00 PM,26.7,25.44
22,04/16/06 07:22:00 PM,27.24,25.44
23,04/16/06 07:23:00 PM,27.78,25.44
24,04/16/06 07:24:00 PM,28.33,25.44
25,04/16/06 07:25:00 PM,28.33,25.27
26,04/16/06 07:26:00 PM,28.15,25.09
27,04/16/06 07:27:00 PM,27.96,25.09
28,04/16/06 07:28:00 PM,27.6,24.91
29,04/16/06 07:29:00 PM,28.15,24.74
30,04/16/06 07:30:00 PM,28.51,24.91
31,04/16/06 07:31:00 PM,27.42,24.74
32,04/16/06 07:32:00 PM,27.42,24.74
33,04/16/06 07:33:00 PM,27.42,24.74
34,04/16/06 07:34:00 PM,27.6,24.74
35,04/16/06 07:35:00 PM,27.24,24.74
36,04/16/06 07:36:00 PM,27.42,24.56
37,04/16/06 07:37:00 PM,27.6,24.56
38,04/16/06 07:38:00 PM,27.6,24.74
39,04/16/06 07:39:00 PM,27.78,24.74
40,04/16/06 07:40:00 PM,27.6,24.56
41,04/16/06 07:41:00 PM,27.6,24.56
42,04/16/06 07:42:00 PM,27.6,24.56
43,04/16/06 07:43:00 PM,27.78,24.56
44,04/16/06 07:44:00 PM,27.96,24.56
45,04/16/06 07:45:00 PM,28.15,24.56
46,04/16/06 07:46:00 PM,28.33,24.56
47,04/16/06 07:47:00 PM,28.15,24.56
48,04/16/06 07:48:00 PM,28.15,24.38
49,04/16/06 07:49:00 PM,27.6,24.38
50,04/16/06 07:50:00 PM,27.42,24.38
51,04/16/06 07:51:00 PM,27.06,24.38
52,04/16/06 07:52:00 PM,27.06,24.21
53,04/16/06 07:53:00 PM,26.88,24.21
54,04/16/06 07:54:00 PM,26.7,24.03
55,04/16/06 07:55:00 PM,26.88,24.03
56,04/16/06 07:56:00 PM,26.88,24.03
57,04/16/06 07:57:00 PM,26.88,24.03
58,04/16/06 07:58:00 PM,27.06,23.86
59,04/16/06 07:59:00 PM,27.24,23.86
60,04/16/06 08:00:00 PM,27.42,23.86
61,04/16/06 08:01:00 PM,27.06,24.03
62,04/16/06 08:02:00 PM,26.16,24.03
63,04/16/06 08:03:00 PM,25.27,24.21
64,04/16/06 08:04:00 PM,24.91,24.03
65,04/16/06 08:05:00 PM,24.74,24.21
66,04/16/06 08:06:00 PM,24.56,24.03
67,04/16/06 08:07:00 PM,24.74,24.03
68,04/16/06 08:08:00 PM,25.62,24.03
69,04/16/06 08:09:00 PM,26.16,24.03
70,04/16/06 08:10:00 PM,26.7,23.86
71,04/16/06 08:11:00 PM,26.88,23.86
72,04/16/06 08:12:00 PM,27.06,23.86
73,04/16/06 08:13:00 PM,27.24,23.86
74,04/16/06 08:14:00 PM,27.42,23.86
75,04/16/06 08:15:00 PM,27.42,23.68
76,04/16/06 08:16:00 PM,27.42,23.68
