Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-06-30 21:01:00,2006-07-01 06:18:00,557.0,32.47910394265233,25.515232974910393
Off,2006-07-01 06:18:00,2006-07-01 06:27:00,9.0,27.78,23.682
On,2006-07-01 06:27:00,2006-07-01 06:32:00,5.0,30.166666666666668,23.566666666666666
Off,2006-07-01 06:32:00,2006-07-01 06:38:00,6.0,28.51,23.680000000000003
On,2006-07-01 06:38:00,2006-07-01 07:00:00,22.0,32.5004347826087,23.735217391304353
Off,2006-07-01 07:00:00,2006-07-01 07:04:00,4.0,29.07,23.996000000000002
On,2006-07-01 07:04:00,2006-07-01 07:18:00,14.0,31.812000000000005,24.102666666666664
Off,2006-07-01 07:18:00,2006-07-01 07:31:00,13.0,28.15,24.50857142857143
On,2006-07-01 07:31:00,2006-07-01 07:55:00,24.0,32.112,24.948400000000003
Off,2006-07-01 07:55:00,2006-07-01 08:01:00,6.0,31.13,25.594285714285718
On,2006-07-01 08:01:00,2006-07-01 08:45:00,44.0,34.07733333333335,26.884000000000004
Off,2006-07-01 08:45:00,2006-07-01 08:49:00,4.0,32.08,27.420000000000005
On,2006-07-01 08:49:00,2006-07-01 08:59:00,10.0,33.50363636363637,27.730909090909094
Off,2006-07-01 08:59:00,2006-07-01 09:05:00,6.0,31.89,28.095714285714287
On,2006-07-01 09:05:00,2006-07-01 09:35:00,30.0,34.41870967741936,28.579354838709683
Off,2006-07-01 09:35:00,2006-07-01 09:42:00,7.0,31.7,29.39125
On,2006-07-01 09:42:00,2006-07-01 10:02:00,20.0,34.60380952380952,29.80047619047619
Off,2006-07-01 10:02:00,2006-07-01 10:12:00,10.0,32.66,29.810000000000002
On,2006-07-01 10:12:00,2006-07-01 10:21:00,9.0,35.187,30.978
Off,2006-07-01 10:21:00,2006-07-01 10:26:00,5.0,34.04,31.7
On,2006-07-01 10:26:00,2006-07-01 10:39:00,13.0,35.48571428571429,31.769285714285708
Off,2006-07-01 10:39:00,2006-07-01 10:49:00,10.0,33.84,32.050909090909094
On,2006-07-01 10:49:00,2006-07-01 11:09:00,20.0,35.54190476190476,33.0347619047619
Off,2006-07-01 11:09:00,2006-07-01 11:23:00,14.0,34.63,34.14066666666667
On,2006-07-01 11:23:00,2006-07-01 11:29:00,6.0,35.82,34.34571428571429
Off,2006-07-01 11:29:00,2006-07-01 11:35:00,6.0,34.63,34.77285714285714
On,2006-07-01 11:35:00,2006-07-01 12:00:00,25.0,36.966153846153844,35.377307692307696
Off,2006-07-01 12:00:00,2006-07-01 12:10:00,10.0,35.03,35.88545454545455
On,2006-07-01 12:10:00,2006-07-01 12:26:00,16.0,37.434705882352944,35.5235294117647
Off,2006-07-01 12:26:00,2006-07-01 12:33:00,7.0,34.83,36.103750000000005
On,2006-07-01 12:33:00,2006-07-01 13:38:00,65.0,37.08166666666667,36.335606060606054
Off,2006-07-01 13:38:00,2006-07-01 13:42:00,4.0,35.64,37.164
On,2006-07-01 13:42:00,2006-07-01 15:00:00,78.0,36.798354430379746,37.587088607594936
Off,2006-07-01 15:00:00,2006-07-01 15:06:00,6.0,35.64,36.49428571428571
On,2006-07-01 15:06:00,2006-07-01 15:13:00,7.0,37.30125,36.49125
Off,2006-07-01 15:13:00,2006-07-01 15:18:00,5.0,36.46,35.779999999999994
On,2006-07-01 15:18:00,2006-07-01 15:55:00,37.0,37.90894736842106,37.8928947368421
Off,2006-07-01 15:55:00,2006-07-01 15:59:00,4.0,36.26,37.164
On,2006-07-01 15:59:00,2006-07-01 18:26:00,147.0,36.98986486486486,36.19114864864866
Off,2006-07-01 18:26:00,2006-07-01 18:36:00,10.0,33.64,32.99818181818182
On,2006-07-01 18:36:00,2006-07-01 19:02:00,26.0,35.258148148148145,32.16888888888889
Off,2006-07-01 19:02:00,2006-07-01 19:14:00,12.0,32.08,31.64153846153846
On,2006-07-01 19:14:00,2006-07-01 19:34:00,20.0,35.33238095238095,31.310952380952386
Off,2006-07-01 19:34:00,2006-07-01 19:39:00,5.0,33.25,31.035
On,2006-07-01 19:39:00,2006-07-01 19:51:00,12.0,34.346923076923076,30.720769230769232
Off,2006-07-01 19:51:00,2006-07-01 19:58:00,7.0,32.47,30.441249999999997
On,2006-07-01 19:58:00,2006-07-01 20:05:00,7.0,34.075,30.1125
Off,2006-07-01 20:05:00,2006-07-01 20:12:00,7.0,32.08,29.92875
On,2006-07-01 20:12:00,2006-07-01 20:32:00,20.0,34.179047619047616,29.437619047619055
