date,year,month,Idnest,massegg,number,clutch size
24-Jun-06,2006,Jun,ALS1,4.8,A,3
24-Jun-06,2006,Jun,ALS1,4.8,B,3
24-Jun-06,2006,Jun,ALS1,4.65,C,3
24-Jun-06,2006,Jun,ALS,4.8,A,3
24-Jun-06,2006,Jun,ALS,4.6,B,3
24-Jun-06,2006,Jun,ALS,4.35,C,3
24-Jun-06,2006,Jun,ALS2,3.8,A,2
24-Jun-06,2006,Jun,ALS2,3.6,B,2
24-Jun-06,2006,Jun,ALS3,5.55,A,3
24-Jun-06,2006,Jun,ALS3,5.35,B,3
24-Jun-06,2006,Jun,ALS3,5.15,C,3
29-Jun-06,2006,Jun,ALS4,3.75,1,4
29-Jun-06,2006,Jun,ALS4,3.8,2,4
29-Jun-06,2006,Jun,ALS4,4.15,3,4
29-Jun-06,2006,Jun,ALS4,4,4,4
29-Jun-06,2006,Jun,ALS5,4,1,4
29-Jun-06,2006,Jun,ALS5,3.85,4,4
29-Jun-06,2006,Jun,ALS5,4.35,3,4
3-Jun-06,2006,Jun,ALS6,4.95,A,3
3-Jun-06,2006,Jun,ALS6,4.35,B,3
3-Jun-06,2006,Jun,ALS6,4.55,C,3
27-Jun-06,2006,Jun,ALS7,3.85,1,3
27-Jun-06,2006,Jun,ALS7,4,2,3
27-Jun-06,2006,Jun,ALS7,4.15,3,3
6-Jun-06,2006,Jun,ALS8,4.7,A,3
6-Jun-06,2006,Jun,ALS8,4.55,B,3
6-Jun-06,2006,Jun,ALS8,4.4,C,3
27-Apr-06,2006,Apr,ALS9,5.05,A,3
27-Apr-06,2006,Apr,ALS9,4.8,B,3
27-Apr-06,2006,Apr,ALS9,4.8,C,3
27-Apr-06,2006,Apr,ALS10,4.35,A,3
27-Apr-06,2006,Apr,ALS10,4,B,3
27-Apr-06,2006,Apr,ALS10,4.3,C,3
1-Jul-06,2006,Jul,ALS11,4.35,1,3
1-Jul-06,2006,Jul,ALS11,4.95,2,3
1-Jul-06,2006,Jul,ALS11,4.65,3,3
8-Jul-06,2006,Jul,ALS12,5.2,1,3
8-Jul-06,2006,Jul,ALS12,5.3,2,3
8-Jul-06,2006,Jul,ALS12,4.75,3,3
2-Apr-06,2006,Apr,ALS 13,3.75,1,3
2-Apr-06,2006,Apr,ALS 13,4.3,2,3
2-Apr-06,2006,Apr,ALS 13,4,3,3
18-May-06,2006,May,ALS 41,3.75,A,4
18-May-06,2006,May,ALS 41,4,B,4
18-May-06,2006,May,ALS 41,4,C,4
18-May-06,2006,May,ALS 41,4.2,D,4
30-May-06,2006,May,ALS 46,3.8,A,3
30-May-06,2006,May,ALS 46,4.05,B,3
30-May-06,2006,May,ALS 46,4.45,C,3
5-Apr-06,2006,Apr,ALS14,3.75,1,3
5-Apr-06,2006,Apr,ALS14,4.35,2,3
5-Apr-06,2006,Apr,ALS14,4,3,3
4-Apr-06,2006,Apr,ALS100,4.3,1,3
4-Apr-06,2006,Apr,ALS100,4.8,2,3
4-Apr-06,2006,Apr,ALS100,4.7,3,3
29-Jun-06,2006,Jun,ALS101,5.05,1,3
29-Jun-06,2006,Jun,ALS101,4.65,2,3
29-Jun-06,2006,Jun,ALS101,4.85,3,3
13-Jul-06,2006,Jul,ALS107,4.2,A,2
13-Jul-06,2006,Jul,ALS107,4.2,B,2
16-Jul-06,2006,Jul,ALS107,4,A,2
16-Jul-06,2006,Jul,ALS107,3.65,B,2
8-Jul-06,2006,Jul,ALS107,4.45,A,2
8-Jul-06,2006,Jul,ALS107,4.35,B,2
13-Jul-06,2006,Jul,ALS111,4.95,1,3
13-Jul-06,2006,Jul,ALS111,5,2,3
13-Jul-06,2006,Jul,ALS111,4.6,3,3
13-Apr-06,2006,Apr,ALS18,3.65,1,4
13-Apr-06,2006,Apr,ALS18,3.9,2,4
13-Apr-06,2006,Apr,ALS18,3.8,3,4
13-Apr-06,2006,Apr,ALS18,3.85,4,4
25-Apr-06,2006,Apr,ALS22,4.4,1,3
25-Apr-06,2006,Apr,ALS22,4.6,2,3
25-Apr-06,2006,Apr,ALS22,4.15,3,3
1-May-06,2006,May,ALS22,4.15,1,2
1-May-06,2006,May,ALS22,4.2,2,2
28-Apr-06,2006,Apr,ALS23,4.15,1,4
28-Apr-06,2006,Apr,ALS23,4.55,2,4
28-Apr-06,2006,Apr,ALS23,4.15,3,4
28-Apr-06,2006,Apr,ALS23,4.3,4,4
7-May-06,2006,May,ALS24,5.13,1,3
7-May-06,2006,May,ALS24,4.85,2,3
7-May-06,2006,May,ALS24,5.25,3,3
9-May-06,2006,May,ALS34,4.75,A,3
9-May-06,2006,May,ALS34,4.4,B,3
9-May-06,2006,May,ALS34,4.65,C,3
15-May-06,2006,May,ALS38,4.45,1,3
15-May-06,2006,May,ALS38,5.2,2,3
15-May-06,2006,May,ALS38,5.3,3,3
18-May-06,2006,May,ALS41,3.75,A,4
18-May-06,2006,May,ALS41,4,B,4
18-May-06,2006,May,ALS41,4,C,4
18-May-06,2006,May,ALS41,4.2,D,4
12-May-06,2006,May,ALS41,4.05,A,2
12-May-06,2006,May,ALS41,4.2,B,2
21-May-06,2006,May,ALS44,4.7,A,3
21-May-06,2006,May,ALS44,4.9,B,3
21-May-06,2006,May,ALS44,4.55,C,3
24-May-06,2006,May,ALS45,4.1,1,3
24-May-06,2006,May,ALS45,4.25,2,3
24-May-06,2006,May,ALS45,3.7,3,3
28-May-06,2006,May,ALS45,3.8,1,3
28-May-06,2006,May,ALS45,4.05,2,3
28-May-06,2006,May,ALS45,2.75,3,3
30-May-06,2006,May,ALS45,3.8,1,3
30-May-06,2006,May,ALS45,3.25,2,3
30-May-06,2006,May,ALS45,2.7,3,3
18-May-06,2006,May,ALS46,5,A,3
18-May-06,2006,May,ALS46,4.65,B,3
18-May-06,2006,May,ALS46,4.9,C,3
20-May-06,2006,May,ALS47,4.55,A,3
20-May-06,2006,May,ALS47,4.7,B,3
20-May-06,2006,May,ALS47,4.65,C,3
25-May-06,2006,May,ALS49,5.8,1,3
25-May-06,2006,May,ALS49,5.4,2,3
25-May-06,2006,May,ALS49,5.65,3,3
28-May-06,2006,May,ALS49,5.4,1,3
28-May-06,2006,May,ALS49,4.2,2,3
28-May-06,2006,May,ALS49,5.2,3,3
13-Apr-06,2006,Apr,ALS5,4,A,3
13-Apr-06,2006,Apr,ALS5,4.15,B,3
13-Apr-06,2006,Apr,ALS5,3.85,C,3
28-May-06,2006,May,ALS57,4.4,1,3
28-May-06,2006,May,ALS57,4.65,2,3
28-May-06,2006,May,ALS57,5.1,3,3
31-May-06,2006,May,ALS57,4.5,1,3
31-May-06,2006,May,ALS57,4.5,2,3
31-May-06,2006,May,ALS57,4.15,3,3
4-Jun-06,2006,Jun,ALS57,4.65,1,3
4-Jun-06,2006,Jun,ALS57,4.35,2,3
4-Jun-06,2006,Jun,ALS57,4.85,3,3
28-May-06,2006,May,ALS57,1.85,N/A,1
13-Apr-06,2006,Apr,ALS6,3.85,1,4
13-Apr-06,2006,Apr,ALS6,3.65,2,4
13-Apr-06,2006,Apr,ALS6,3.75,3,4
13-Apr-06,2006,Apr,ALS6,3.8,4,4
21-Apr-06,2006,Apr,ALS6,3.55,1,3
21-Apr-06,2006,Apr,ALS6,3.5,2,3
21-Apr-06,2006,Apr,ALS6,3.6,3,3
30-May-06,2006,May,ALS62,4.45,A,3
30-May-06,2006,May,ALS62,4.25,B,3
30-May-06,2006,May,ALS62,4.4,C,3
8-Jun-06,2006,Jun,ALS64,4.65,1,3
8-Jun-06,2006,Jun,ALS64,4.45,2,3
8-Jun-06,2006,Jun,ALS64,4.65,3,3
8-Jun-06,2006,Jun,ALS72,5.1,1,4
8-Jun-06,2006,Jun,ALS72,5.2,2,4
8-Jun-06,2006,Jun,ALS72,4.95,3,4
8-Jun-06,2006,Jun,ALS72,5.1,4,4
12-Jun-06,2006,Jun,ALS72,5.05,1,3
12-Jun-06,2006,Jun,ALS72,5.1,2,3
12-Jun-06,2006,Jun,ALS72,4.15,4,3
8-Jun-06,2006,Jun,ALS73,4.8,A,1
8-Jun-06,2006,Jun,ALS77,4.85,1,4
8-Jun-06,2006,Jun,ALS77,4.5,2,4
8-Jun-06,2006,Jun,ALS77,4.7,3,4
8-Jun-06,2006,Jun,ALS77,4.55,4,4
11-Jun-06,2006,Jun,ALS77,4.5,1,3
11-Jun-06,2006,Jun,ALS77,4.45,3,3
11-Jun-06,2006,Jun,ALS77,4.35,4,3
5-Jul-06,2006,Jul,ALS8?,4.8,X,4
14-Jun-06,2006,Jun,ALS80,4.7,1,4
14-Jun-06,2006,Jun,ALS80,4.45,2,4
14-Jun-06,2006,Jun,ALS80,5.05,3,4
14-Jun-06,2006,Jun,ALS80,4.75,4,4
18-May-06,2006,May,ALS81,3.75,A,4
18-May-06,2006,May,ALS81,4,B,4
18-May-06,2006,May,ALS81,4,C,4
18-May-06,2006,May,ALS81,4.2,D,4
10-Jun-06,2006,Jun,ALS81,5.3,1,4
10-Jun-06,2006,Jun,ALS81,4.9,2,4
10-Jun-06,2006,Jun,ALS81,5,3,4
10-Jun-06,2006,Jun,ALS81,5.4,4,4
22-Jun-06,2006,Jun,ALS81,5.3,1,3
22-Jun-06,2006,Jun,ALS81,5.05,3,3
