nest height,date 
3.5,6/26/2006
3,4/2/2006
3,4/5/2006
3,4/7/2006
1,4/9/2006
1,4/11/2006
1,4/13/2006
1,4/17/2006
5,6/29/2006
5,7/3/2006
5,7/6/2006
5,7/9/2006
2,6/24/2006
2,7/3/2006
2,7/6/2006
2,7/9/2006
2,7/13/2006
3.5,7/6/2006
3.5,7/9/2006
3.5,7/13/2006
3.5,7/15/2006
1,7/6/2006
1,7/13/2006
1,7/16/2006
1,7/18/2006
1,7/20/2006
1,7/21/2006
1,7/25/2006
1,7/27/2006
1,7/29/2006
2.5,7/6/2006
2.5,7/9/2006
2.5,7/13/2006
2,7/13/2006
2,7/16/2006
2,4/9/2006
2,4/10/2006
7,7/13/2006
7,7/16/2006
1.5,7/6/2006
1.5,7/13/2006
1.5,7/16/2006
1.5,7/18/2006
1.5,7/19/2006
1.5,7/20/2006
3,7/20/2006
3,7/23/2006
4.5,7/20/2006
4.5,7/24/2006
1,4/9/2006
1,4/10/2006
3.5,4/9/2006
3.5,4/13/2006
3,4/11/2006
3,4/13/2006
1.5,3/20/2006
1.5,3/22/2006
1.5,3/24/2006
1.5,3/27/2006
1.5,3/31/2006
1.5,4/2/2006
1.5,4/5/2006
1.5,4/9/2006
1.5,4/11/2006
0.75,4/13/2006
0.75,4/17/2006
0.75,4/21/2006
0.75,4/23/2006
0.75,4/25/2006
0.75,4/28/2006
0.75,4/30/2006
0.75,5/1/2006
0.75,5/4/2006
3,4/17/2006
3,4/21/2006
3,4/25/2006
3,4/28/2006
3,5/1/2006
3,5/4/2006
3,5/7/2006
1,4/2/2006
1,4/15/2006
3,4/22/2006
3,4/25/2006
3,4/28/2006
2,4/25/2006
2,4/28/2006
2,5/1/2006
2,5/4/2006
2,5/7/2006
2,5/9/2006
2,5/15/2006
1.5,4/28/2006
1.5,5/1/2006
1.5,5/4/2006
1.5,5/7/2006
1.5,5/9/2006
1.5,5/15/2006
1.5,5/17/2006
1.5,5/19/2006
1,5/7/2006
1,5/10/2006
1,5/14/2006
1,5/17/2006
1,5/19/2006
2.5,5/7/2006
2.5,5/9/2006
2.5,5/14/2006
4,5/7/2006
4,5/10/2006
4,5/14/2006
4,5/18/2006
1,5/7/2006
2.5,5/10/2006
2.5,5/14/2006
1,5/15/2006
1,5/17/2006
1,5/21/2006
1.5,5/15/2006
1.5,5/16/2006
1.5,5/17/2006
1.5,5/21/2006
1.5,5/25/2006
1.5,5/27/2006
1.5,5/28/2006
1.5,5/30/2006
1.5,6/1/2006
1.5,6/3/2006
2,4/4/2006
4,5/16/2006
4,5/21/2006
4,5/25/2006
3.5,5/17/2006
3.5,5/21/2006
3.5,5/24/2006
2,5/19/2006
